"","NewTitle","Release_Date.x","Number","Movie_Title","Movie_Type","National_Spectator_Number","Running_Time","Revenue","Spectator_Number","Screen_Number","Play_Number","Movie_Category","Release_Date.y","Nationality_First","Distributor","Movie_Rate","Genre_Name","Genre1","Genre3","Genre3","Director_Name","Director1","Director3","Director3","Actor_Name","Actor1","Actor3","Actor3"
"3726","트랜스포머패자의역습",2009-06-24,"23 ","트랜스포머: 패자의 역습","장편",7505700,149,50697608000,7392990,1154,115137,"일반영화","2009-06-24","미국","씨제이엔터테인먼트(주)","12세이상관람가",3,"SF","액션","어드벤처",1,"마이클 베이","","",2,"샤이아 라보프","메간 폭스",""
"3409","최종병기활",2011-08-10,"24 ","최종병기 활","장편",7466976,122,55827861500,7470633,615,130054,"일반영화","2011-08-10","한국","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가",2,"사극","액션","",1,"김한민","","",27,"김무열","이재구","류승룡"
"3723","트랜스포머",2007-06-28,"25 ","트랜스포머","장편",7440531,135,47707993338,7402211,873,92692,"일반영화","2007-06-28","미국","씨제이엔터테인먼트(주)","12세이상관람가",3,"SF","액션","어드벤처",1,"마이클 베이","","",2,"샤이아 라보프","메간 폭스",""
"2353","써니",2011-05-04,"26 ","써니","장편",7328820,124,54035565100,7362657,546,149135,"일반영화","2011-05-04","한국","씨제이이앤엠(주)","15세이상관람가",2,"드라마","코미디","",1,"강형철","","",44,"고수희","강지원","김민영"
"4171","화려한휴가",2007-07-25,"27 ","화려한 휴가","장편",7307993,125,44098449600,6855300,551,96522,"일반영화","2007-07-25","한국","씨제이엔터테인먼트(주)","12세이상관람가",1,"드라마","","",1,"김지훈","","",34,"김상경","안성기","이요원"
"1657","베를린",2013-01-30,"28 ","베를린","장편",7166199,120,52355568637,7166290,894,111744,"일반영화","2013-01-30","한국","씨제이이앤엠(주)","15세이상관람가",1,"액션","","",1,"류승완","","",9,"하정우","한석규","류승범"
"2591","어벤져스",2012-04-26,"29 ","어벤져스","장편",7074867,142,59557853478,7074867,967,109697,"일반영화","2012-04-26","미국","한국소니픽쳐스릴리징브에나비스타영화㈜","12세이상관람가",2,"액션","SF","",1,"조스 웨던","","",5,"로버트 다우니 주니어","스칼렛 요한슨","크리스 헴스워스"
"3012","은밀하게위대하게",2013-06-05,"30 ","은밀하게 위대하게","장편",6953800,123,48700887413,6959083,1341,117461,"일반영화","2013-06-05","한국","쇼박스㈜미디어플렉스","15세이상관람가",3,"액션","코미디","드라마",1,"장철수","","",21,"김수현","박기웅","이현우"
"3634","타짜",2006-09-28,"31 ","타짜","장편",6847777,139,36180800700,5685441,492,76872,"일반영화","2006-09-28","한국","씨제이엔터테인먼트(주)","18세관람가",1,"드라마","","",1,"최동훈","","",19,"조승우","김혜수","백윤식"
"3244","좋은놈나쁜놈이상한놈",2008-07-17,"32 ","좋은 놈, 나쁜 놈, 이상한 놈 ","장편",6686912,139,43754257000,6685845,825,93574,"일반영화","2008-07-17","한국","씨제이엔터테인먼트(주)","15세이상관람가",3,"서부극(웨스턴)","액션","어드벤처",1,"김지운","","",18,"송강호","김선영","이병헌"
"654","늑대소년",2012-10-31,"33 ","늑대소년","장편",6654837,124,46593140500,6654842,856,109134,"일반영화","2012-10-31","한국","씨제이이앤엠(주)","15세이상관람가",3,"멜로/로맨스","드라마","판타지",1,"조성희","","",10,"송중기","박보영","장영남"
"1463","미녀는괴로워",2006-12-14,"34 ","미녀는 괴로워","장편",6619498,120,36292848900,6081480,783,87141,"일반영화","2006-12-14","한국","쇼박스㈜미디어플렉스","12세이상관람가",2,"멜로/로맨스","코미디","",1,"김용화","","",23,"김아중","주진모","김현숙"
"691","다크나이트라이즈",2012-07-19,"35 ","다크 나이트 라이즈","장편",6396528,164,47644838000,6396528,1210,81254,"일반영화","2012-07-19","미국","워너브러더스 (주)","15세이상관람가",3,"액션","범죄","스릴러",1,"크리스토퍼 놀란","","",5,"크리스찬 베일","게리 올드만","앤 해서웨이"
"2467","아저씨",2010-08-04,"36 ","아저씨","장편",6282774,119,47101332000,6178248,501,109853,"일반영화","2010-08-04","한국","씨제이엔터테인먼트(주)","청소년관람불가",2,"액션","드라마","",1,"이정범","","",39,"김호연","원빈","김성훈"
"3194","전우치",2009-12-23,"37 ","전우치","장편",6136928,136,44092715000,6065355,1168,102354,"일반영화","2009-12-23","한국","씨제이엔터테인먼트(주)","12세이상관람가",3,"액션","코미디","판타지",1,"최동훈","","",39,"김서현","강동원","임수정"
"3711","투사부일체",2006-01-19,"38 ","투사부일체","장편",6105431,125,31959686000,5074314,407,54339,"일반영화","2006-01-19","한국","씨제이엔터테인먼트(주)","15세관람가",1,"코미디","","",1,"김동원","","",26,"정준호","정웅인","김상중"
"3095","인셉션",2010-07-21,"39 ","인셉션","장편",5926948,147,43394990000,5827444,531,81891,"일반영화","2010-07-21","미국","워너브러더스 (주)","12세이상관람가",2,"드라마","미스터리","",1,"크리스토퍼 놀란","","",3,"레오나르도 디카프리오","엘렌 페이지","마리온 꼬띨라르"
"1071","레미제라블",2012-12-19,"40 ","레미제라블","장편",5911890,158,43074425800,5919170,1309,82560,"일반영화","2012-12-19","미국","유니버설픽쳐스인터내셔널 코리아(유)","12세이상관람가",1,"드라마","","",1,"톰 후퍼","","",5,"휴 잭맨","러셀 크로우","앤 해서웨이"
"1475","미션임파서블3",2006-05-03,"41 ","미션 임파서블 3","장편",5740789,124,32154883400,5127003,441,72573,"일반영화","2006-05-03","미국","UIP코리아","15세관람가",1,"액션","","",1,"J.J. 에이브럼스","","",2,"톰 크루즈","필립 세이무어 호프먼",""
"111","가문의위기가문의영광2",2005-09-07,"42 ","가문의 위기(가문의 영광2)","장편",5635266,115,28622355500,4529876,351,61009,"일반영화","2005-09-07","한국","쇼박스㈜미디어플렉스","15세관람가",1,"코미디","","",1,"정용기","","",13,"신현준","김수미","김원희"
"2130","숨바꼭질",2013-08-14,"43 ","숨바꼭질","장편",5602543,108,39602977500,5604103,779,88062,"일반영화","2005-02-25","미국","이십세기폭스필름코퍼레이션","15세관람가",3,"드라마","공포(호러)","스릴러",1,"존 폴슨","","",2,"로버트 드니로","다코타 패닝",""
"2131","숨바꼭질",2013-08-14,"43 ","숨바꼭질","장편",5602543,108,39602977500,5604103,779,88062,"일반영화","2013-08-14","한국","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가",1,"스릴러","","",1,"허정","","",4,"손현주","문정희","전미선"
"790","더테러라이브",2013-07-31,"44 ","더 테러 라이브","장편",5583596,98,39869706381,5584139,809,93488,"일반영화","2013-07-31","한국","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가",2,"범죄","기타","",1,"김병우","","",9,"하정우","이경영","전혜진"
"3026","의형제",2010-02-04,"45 ","의형제","장편",5507106,116,40153729000,5416812,569,118243,"일반영화","2010-02-04","한국","쇼박스㈜미디어플렉스","15세이상관람가",2,"드라마","액션","",1,"장훈","","",21,"강동원","김종엽","송강호"
"140","감시자들",2013-07-03,"46 ","감시자들","장편",5496547,118,39380162179,5508017,949,100309,"일반영화","2013-07-03","한국","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가",2,"범죄","액션","",2,"조의석","김병서","",30,"설경구","정우성","한효주"
