Movie_Title	Release_Date	Nationality_First	Nationality	Production_Company	Distributor	Movie_Rate	Genre	Director	Actor
비정한 도시 감독판	2012-10-25	한국	한국	(주)온전한 컴퍼니	(주)인벤트스톤	청소년관람불가	미스터리,스릴러	김문흠	조성하,김석훈,서영희,이기영,안길강,추종범,김문흠,김중탁
아이언 스카이	2012-10-25	핀란드	핀란드		(주)팝파트너스	15세이상관람가	SF	티모 부오렌솔라	줄리아 디에체,페타 서긴트,우도 키에르
퍼스트 포지션	2012-10-25	미국	미국		골든타이드픽처스(주)	전체관람가	다큐멘터리,코미디,드라마	베스 카그맨	아란 벨,가야 봄메르 야미니,신하균
롱 폴링	2012-10-25	프랑스	프랑스		(주)스크린와이즈	청소년관람불가	드라마	마르탱 프로보스트	욜랭드 모로,피에르 모레
바비	2012-10-25	한국	한국	(주)인디컴미디어	㈜미로비젼	청소년관람불가	드라마	이상우	이천희,김새론,김아론,정기철,정민우,정성룡,정우상,정재욱,정지민,최가현,최성우,김민수,최영진,이상우,이윤경,이정민,박경균,이강섭
전망 좋은 집	2012-10-25	한국	한국	LEE FILM	(주)마인스 엔터테인먼트	청소년관람불가	멜로/로맨스,드라마	이수성	곽현화,하나경,오성태,이건,황재선,이보현,박해성,윤나영
부귀영화	2012-10-25	한국	한국	버진필름	(주)씨타마운틴픽쳐스	15세이상관람가	공포(호러)	인진미	이율리,박혜린,한석경,인진미,전희경,정성욱,박대희,백혜령,서상호,양재호,윤일중,이경
맛있는불륜-택시	2012-10-25	한국	한국	(주)케이알씨지	(주)케이알씨지	청소년관람불가	멜로/로맨스,드라마	이숭환	양민영
라 트라비아타	2012-10-23	미국	미국		(주)인스터피씨엠	전체관람가	기타	윌리 데커	나탈리 드세이
핏불테리아	2012-10-23	한국	한국	스턴트코리아	스턴트코리아	청소년관람불가	액션	고명안	
용의자X	2012-10-18	한국	한국	(주)케이앤엔터테인먼트,씨제이이앤엠(주)	씨제이이앤엠(주)	15세이상관람가	미스터리	방은진	류승범,이요원,조진웅
조조-황제의 반란	2012-10-18	중국	중국		롯데쇼핑㈜롯데엔터테인먼트	15세이상관람가	사극	조림산	주윤발,유역비,타마키 히로시
로우리스: 나쁜 영웅들	2012-10-18	미국	미국		씨너스엔터테인먼트(주)	청소년관람불가	액션,범죄	존 힐코트	샤이아 라보프,톰 하디,게리 올드만,가이 피어스,제이슨 클락,제시카 차스테인,미아 와시코브스카,데인 드한
인피니트 콘서트 세컨드 인베이전 에볼루션 더 무비 3D	2012-10-18	한국	한국	케이비에스미디어(주),(주)울림엔터테인먼트	골든타이드픽처스(주)	전체관람가	공연,다큐멘터리	손석	
MB의 추억	2012-10-18	한국	한국	(주)비투이	스튜디오느림보	15세이상관람가	다큐멘터리	김재환	강수현,김명훈
아기 거북 토토의 바다 대모험	2012-10-18	영국	영국, 오스트리아,독일		예지림엔터테인먼트	전체관람가	다큐멘터리	닉 스트링거	
위대한 비행	2012-10-18	한국	한국	부산경남대표방송,롯데쇼핑㈜롯데엔터테인먼트	롯데쇼핑㈜롯데엔터테인먼트	전체관람가	다큐멘터리	진재운	
맥코리아	2012-10-18	한국	한국	(주)디케이미디어	(주)씨타마운틴픽쳐스	15세이상관람가	다큐멘터리	김형렬	공지영,탁현민,강희용
미쓰 마마	2012-10-18	한국	한국	프로덕션공방,(주)이든픽쳐스	찬란	15세이상관람가	다큐멘터리	백연아	최형숙,김현진,장지영,최준서
우주전쟁2:넥스트웨이브	2012-10-18	미국	미국		(유)조이앤컨텐츠그룹	12세이상관람가	스릴러,전쟁	토마스 하우엘	토마스 하우엘
회사원	2012-10-11	한국	한국	영화사심미안(주),쇼박스㈜미디어플렉스,(주)51k	쇼박스㈜미디어플렉스	청소년관람불가	액션,드라마	임상윤	소지섭,이미연,곽도원,김동준,이경영,한보배,정종열,이학렬,임상윤,곽승원,김봉준,홍의정,김중돈,이재윤,나주호,박지수,서정주,신창수,이금용,이동민
루퍼	2012-10-11	미국	미국		(주)에스비에스콘텐츠허브	청소년관람불가	SF,액션	라이언 존슨	조셉 고든 레빗,브루스 윌리스,에밀리 블런트
위험한 관계	2012-10-11	중국	중국		씨제이이앤엠(주)	청소년관람불가	멜로/로맨스,전쟁,드라마	허진호	장동건,장쯔이,장백지
프랑켄위니	2012-10-11	미국	미국		소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)	12세이상관람가	애니메이션,코미디,공포(호러)	팀 버튼	위노나 라이더,캐서린 오하라,찰리 타헨
서칭 포 슈가맨	2012-10-11	스웨덴	스웨덴,영국		판씨네마㈜	전체관람가	다큐멘터리	말릭 벤젠룰	말릭 벤젠룰,시스토 로드리게즈
사랑의 침묵	2012-10-11	영국	영국		(주)영화사 진진	전체관람가	다큐멘터리	마이클 화이트	노팅힐 가르멜 수녀원의 수녀들
엘르	2012-10-11	프랑스	프랑스,폴란드,독일		(주)미디어데이	청소년관람불가	드라마	마우고시카 슈모프스카	줄리엣 비노쉬,아나이스 데모스티에,조안나 쿠릭
에스엠타운 라이브인도쿄스페셜에디션3D	2012-10-11	한국	한국	에스비에스 바이아컴 유한회사	(주)에스비에스콘텐츠허브	전체관람가	공연	유호진	슈퍼주니어,보아
하나안	2012-10-11	한국	한국	(주)영화사 자미,플라잉타이거픽처스	㈜인디스토리	청소년관람불가	드라마,범죄	박루슬란	스타니슬라브 장,바호디르 무사에프,일벡 파이지에프,드미트리 엄,박루슬란
스타: 빛나는 사랑	2012-10-11	한국	한국	(주)맑음영화사	(주)씨타마운틴픽쳐스	12세이상관람가	멜로/로맨스,드라마	한상희	환희,강은우,김수연,강요환,송재희,추소영,임효순,전민지,김보경,박소현,박정서,성소원,양유경
닌자보이 란타로 : 삼총사의 대모험	2012-10-11	일본	일본		(주)머스트씨무비릴리징컴퍼니	전체관람가	애니메이션	코바야시 츠네오	
가출소녀와 스토커	2012-10-11	일본	일본		(주)도키엔터테인먼트	청소년관람불가	성인물(에로),멜로/로맨스	이케다 치히로	요시이 레이
세컨드라도 좋아	2012-10-11	일본	일본		(주)도키엔터테인먼트	청소년관람불가	성인물(에로)	요시다 료코	야나기 에리사
스티브잡스:미래를 읽는 천재	2012-10-10	미국	미국		㈜코리아스크린	전체관람가	다큐멘터리	타라 퍼니아	
보디가드	2012-10-05	인도	인도		(주)소나무픽쳐스	15세이상관람가	액션	시디끄	살만 칸,카리나 카푸르
체인징사이드: 부부탐구생활	2012-10-04	프랑스	프랑스		에이원엔터테인먼트	15세이상관람가	멜로/로맨스,코미디	파스칼 포자두	소피 마르소,대니 분,앙트완 뒬레리,롤랜드 지라드,애니 듀페리
끌로끌로	2012-10-04	프랑스	프랑스,벨기에		(주)에스와이코마드	15세이상관람가	드라마	플로랑 에밀리오 시리,플로렝 에밀리오 시리	제레미 레니에,브누와 마지멜,모니카 스카티니,사브리나 세이베쿠
마농	2012-10-04	미국	미국		(주)인스터피씨엠	전체관람가	공연	로랑 펠리	안나 네트렙코
점쟁이들	2012-10-03	한국	한국	㈜사람엔터테인먼트,(주)다세포클럽	(주)넥스트엔터테인먼트월드(NEW)	15세이상관람가	코미디,공포(호러)	신정원	김수로,강예원,이제훈,곽도원,김윤혜,양경모,임철형,임혁진,권성휘,장원욱,조인영,김남수,최상준,최정화,최홍선,박유영,함동진,함동진,현창조,김영준,이상희,이연희,김지예,이재덕,이주호,김현철,박경원,석상선,송대규,신유진,유혁준
익스트림 No.13	2012-10-03	미국	미국		(주)팝파트너스	청소년관람불가	스릴러	겔라 바블루아니	제이슨 스타뎀,알렉산더 스카스가드,미키 루크,50 센트,레이 윈스톤,샘 라일리
천재 사기꾼 돈: 세상을 속여라	2012-10-03	인도	인도		(주)영화사폴	청소년관람불가	액션,스릴러,범죄	파르한 악타르	샤룩 칸,프리얀카 초프라
테이큰 2	2012-09-27	프랑스	프랑스		이십세기폭스코리아(주)	청소년관람불가	액션,범죄,드라마	올리비에 메가톤	리암 니슨,매기 그레이스,팜키 얀센,라드 세르베드지야
메리다와 마법의 숲	2012-09-27	미국	미국		한국소니픽쳐스릴리징브에나비스타영화㈜	전체관람가	애니메이션	마크 앤드류스,브렌다 채프먼	켈리 맥도날드,빌리 코놀리,엠마 톰슨,강소라
19곰 테드	2012-09-27	미국	미국		유니버설픽쳐스인터내셔널 코리아(유)	청소년관람불가	코미디,판타지	세스 맥팔레인	마크 월버그,밀라 쿠니스,세스 맥팔레인
우리도 사랑일까	2012-09-27	캐나다	캐나다		(주)티캐스트	청소년관람불가	멜로/로맨스,코미디	사라 폴리	미쉘 윌리엄스,세스 로건,루크 커비
나이트폴	2012-09-27	홍콩	홍콩,중국		(주)나이너스엔터테인먼트	청소년관람불가	액션,스릴러,범죄	주현량	장가휘,임달화
우디 앨런 : 우리가 몰랐던 이야기	2012-09-27	미국	미국		(주)키노아이디엠씨	15세이상관람가	다큐멘터리	로버트 B. 웨이드	우디 알렌,레티 아론슨
스시 장인: 지로의 꿈	2012-09-27	미국	미국		찬란	전체관람가	다큐멘터리	데이빗 겔브	오노 지로
깔깔깔 희망버스	2012-09-27	한국	한국	영화제작소 다	(주)씨타마운틴픽쳐스	15세이상관람가	다큐멘터리	이수정	김선미,박성미
마흔네살의 숫총각	2012-09-27	일본	일본		(주)나우콘텐츠	청소년관람불가	성인물(에로)	이마오카 신지	타츠미 유이
바이럴 팩터	2012-09-27	홍콩	홍콩		예지림엔터테인먼트	청소년관람불가	액션	임초현	주걸륜,사정봉
섹스 주식회사	2012-09-27	미국	미국		(주)소나무픽쳐스	청소년관람불가	코미디,멜로/로맨스	K. 애셔 레빈	카일 갤너,사라 힐랜드,제임스 벨루시
플래쉬운즈	2012-09-27	미국	미국		(주)케이알씨지	청소년관람불가	SF	댄 가르시아	케빈 소르보
그녀에 대해 알고있는 모든것	2012-09-27	일본	일본		(주)도키엔터테인먼트	청소년관람불가	성인물(에로)	이즈치 키슈	사사미네 아이
조루란 시시하다	2012-09-26	일본	일본		(주)나우콘텐츠	청소년관람불가	성인물(에로)	요시다 코우다	세리자와 타테토
블라인드맨	2012-09-24	프랑스	프랑스		(주)노이에스	청소년관람불가	액션,스릴러	자비에 팔뤼	자크 갬블랭,램버트 윌슨
간첩	2012-09-20	한국	한국	(주)영화사울림	롯데쇼핑㈜롯데엔터테인먼트	15세이상관람가	드라마,코미디,액션	우민호	김명민,박일목,유해진,염정아,변희봉,정겨운,장호준,정병두,조민호,최두선,박유영,박현수,서규선
테드: 황금도시 파이티티를 찾아서	2012-09-20	스페인	스페인		싸이더스 픽쳐스	전체관람가	애니메이션	엔리케 가토	하동훈,보라
런던 블러바드	2012-09-20	미국	미국		(주)팝파트너스	15세이상관람가	범죄,드라마	윌리엄 모나한	콜린 파렐,키이라 나이틀리,레이 윈스톤,제이미 캠벨 바우어
럼 다이어리	2012-09-20	미국	미국		(주)마인스 엔터테인먼트	청소년관람불가	코미디,멜로/로맨스	브루스 로빈슨	조니 뎁,아론 에크하트,엠버 허드
이탈리아 횡단밴드	2012-09-20	이탈리아	이탈리아		오드	15세이상관람가	코미디,뮤지컬	로코 파팔레오	알레산드로 가스만,파올로 브리구그리아,로코 파팔레오,조반나 메초지오르노
라폴로니드 : 관용의집	2012-09-20	프랑스	프랑스		(주)액티버스엔터테인먼트	청소년관람불가	드라마	베르트랑 보넬로	합시아 헤지,노에미 르보브스키
화벽	2012-09-20	중국	중국		(주)영화사폴	12세이상관람가	판타지,멜로/로맨스,스릴러,액션,드라마	진가상	손려,등초,정솽,염니,유재연,사남,예성,야오천
차가운 열대어	2012-09-20	일본	일본		(주)에이브이에이엔터테인먼트	청소년관람불가	드라마,스릴러	소노 시온	후키코시 미츠루,덴덴,구로사와 아스카,카구라자카 메구미
욕정의 맛	2012-09-20	홍콩	홍콩		(주)미디어캐슬	청소년관람불가	멜로/로맨스	반원량	하문석,미쉘 여
대재앙	2012-09-20	미국	미국		(유)조이앤컨텐츠그룹	12세이상관람가	어드벤처	미초 루타르	조 랜도
감각의제국 파이널	2012-09-20	일본	일본		(주)도키엔터테인먼트	청소년관람불가	성인물(에로)	아이조메 쿄코	아사미 유마
쾌락지구	2012-09-17	홍콩	홍콩		(주)미디어캐슬	청소년관람불가	멜로/로맨스	전국위	진백우,승색려
광해, 왕이 된 남자	2012-09-13	한국	한국	리얼라이즈픽쳐스(주),씨제이이앤엠(주)	씨제이이앤엠(주)	15세이상관람가	사극,드라마	추창민	이병헌,류승룡,한효주,장광,김인권,심은경,김명곤,서진원,장재현,정창국,조혜정,김남준,이수용,박윤호,김지수,박민규,박지아,송미정,양준모,원동연,김종구
레지던트 이블 5 : 최후의 심판	2012-09-13	미국	미국,독일		한국소니픽쳐스릴리징브에나비스타영화㈜	청소년관람불가	액션,공포(호러),SF,스릴러	폴 W.S. 앤더슨	밀라 요보비치,미셸 로드리게즈,리빙빙,시에나 길로리,오데드 페르
늑대아이	2012-09-13	일본	일본		(주)미디어데이	전체관람가	애니메이션,판타지,멜로/로맨스,드라마,어드벤처	호소다 마모루	미야자키 아오이,오사와 타카오
인시디어스	2012-09-13	미국	미국		쇼박스㈜미디어플렉스	15세이상관람가	공포(호러),판타지,스릴러	제임스 완	패트릭 윌슨,로즈 번,바바라 허쉬,리 워넬
한경직	2012-09-13	한국	한국	(주)씨타마운틴픽쳐스	(주)씨타마운틴픽쳐스	전체관람가	다큐멘터리	천정훈	정애리,이동욱
손오공: 돌원숭이의 탄생	2012-09-13	일본	일본		에이원엔터테인먼트	전체관람가	애니메이션	스기노 아키오,후미히로 요시무라	유카
Mr.스타벅	2012-09-13	캐나다	캐나다		(주)에스와이코마드	15세이상관람가	코미디,드라마	켄 스콧	패트릭 후아르드,줄리 리브리턴,안톤 베르트랑
엘 불리: 요리는 진행 중	2012-09-13	독일	독일		찬란	전체관람가	다큐멘터리	게레온 베첼	페란 아드리아
투 올드 힙합 키드	2012-09-13	한국	한국	다카포필름	(주)시네마달	12세이상관람가	다큐멘터리	정대건	정대건,광석
더 트리	2012-09-13	프랑스	프랑스,호주		골든타이드픽처스(주)	12세이상관람가	드라마,멜로/로맨스	줄리 베르투첼리	샤를로뜨 갱스부르,마튼 초카스
화이팅 패밀리	2012-09-13	한국	한국	피디픽쳐스	골든타이드픽처스(주)	12세이상관람가	가족,드라마	김성호,구상범,구상범,김성호	이명행,최희진,장소연,서영주,배용근,양은용
사랑을 말하다	2012-09-13	한국	한국	크리에이티브컴즈(주)	크리에이티브컴즈(주)	15세이상관람가	드라마	전화성	서예희,윤혁진,임효성,한은진,오승민
도주왕	2012-09-13	프랑스	프랑스		(주)소나무픽쳐스	청소년관람불가	코미디	알랭 기로디	루도빅 벨시롯,합시아 헤지
퍼펙트 바디라인	2012-09-13	일본	일본		(유)조이앤컨텐츠그룹	청소년관람불가	성인물(에로)	코우야 타다시	카스미 리사
사소리외전	2012-09-13	일본	일본		(주)도키엔터테인먼트	청소년관람불가	성인물(에로)	후지와라 켄이치	아스카 키라라
SP우먼	2012-09-10	일본	일본		(주)도키엔터테인먼트	청소년관람불가	성인물(에로)	유호 히토시	요시자와 아키호
본 레거시	2012-09-06	미국	미국		유니버설픽쳐스인터내셔널 코리아(유)	15세이상관람가	액션,스릴러	토니 길로이	제레미 레너,레이첼 웨이즈,에드워드 노튼,조안 알렌,알버트 피니
피에타	2012-09-06	한국	한국	(주)김기덕 필름	(주)넥스트엔터테인먼트월드(NEW)	청소년관람불가	드라마	김기덕	조민수,이정진,권세인,강승헌,김순모,허준석,김재원
익스펜더블 2	2012-09-06	미국	미국		롯데쇼핑㈜롯데엔터테인먼트	15세이상관람가	액션,어드벤처	사이먼 웨스트	실베스터 스탤론,브루스 윌리스,아놀드 슈왈제네거,제이슨 스타뎀,이연걸,장 끌로드 반담,척 노리스,리암 헴스워스,돌프 룬드그렌,테리 크루즈
지상의 별처럼	2012-09-06	인도	인도		(주)엣나인필름	전체관람가	드라마	아미르 칸,아몰 굽트	아미르 칸,다쉴 사페리
웨딩스캔들	2012-09-06	한국	한국	(주)엔브릭스	(주)마인스 엔터테인먼트	15세이상관람가	코미디,멜로/로맨스	신동엽	김민준,곽지민,이세랑,이수호,차민정,차승우,김환일,박소라,송민석
더 레이디	2012-09-06	프랑스	프랑스,영국		씨제이이앤엠(주)	15세이상관람가	드라마	뤽 베송	양자경,데이빗 듈리스
오페라의 유령 2 : 러브 네버 다이	2012-09-06	미국	미국,영국		유니버설픽쳐스인터내셔널 코리아(유)	12세이상관람가	뮤지컬	브렛 설리반,사이몬 필립스	벤 루이스,안나 오브린,마리아 메르세데스,사이먼 글리슨,샤론 밀러칩
호타루의 빛	2012-09-06	일본	일본		골든타이드픽처스(주),(주)영화사 조제	12세이상관람가	멜로/로맨스,코미디	요시노 히로시	아야세 하루카,후지키 나오히토,마츠유키 야스코,테고시 유야,야스다 켄,이타야 유카
다니엘 바렌보임과 서동시집 오케스트라	2012-09-06	독일	독일		(주)영화사 진진	전체관람가	다큐멘터리	파울 슈마츠니	다니엘 바렌보임,에드워드 세이드
청포도 사탕: 17년 전의 약속	2012-09-06	한국	한국	(주)인벤트스톤	(주)씨타마운틴픽쳐스	15세이상관람가	드라마,미스터리	김희정	박진희,박지윤,김정난,최원영,서유진,최고요,이재식,나경찬,박진하
도깅 : 공개섹스	2012-09-06	영국	영국		(주)소나무픽쳐스	청소년관람불가	드라마,코미디	사이몬 엘리스	루크 트레더웨이
휴먼 컨트랙트	2012-09-06	미국	미국		(주)케이알씨지	청소년관람불가	드라마	제이다 핀켓 스미스	제이슨 클락,파즈 베가
에르나니	2012-09-04	미국	미국		(주)인스터피씨엠	전체관람가	기타	피에그 루이기 사마라타니	마르첼로 조르다니
여비서의 불륜	2012-09-01	일본	일본		(유)조이앤컨텐츠그룹	청소년관람불가	성인물(에로)	교우야 타다시	호노카
위험한 유혹	2012-09-01	일본	일본		(유)조이앤컨텐츠그룹	청소년관람불가	멜로/로맨스	이사카와 히토시	마에다 코지
꽃과 나비	2012-09-01	일본	일본		(주)액티버스엔터테인먼트	청소년관람불가	성인물(에로)	카나자와 카츠지	오츠카 사키
여교사의 비밀애	2012-09-01	일본	일본		(유)조이앤컨텐츠그룹	청소년관람불가	성인물(에로)	코우야 타다시	타치바나 사토코,나카가와 카렌
링컨: 뱀파이어 헌터	2012-08-30	미국	미국		이십세기폭스코리아(주)	청소년관람불가	액션,스릴러,공포(호러)	티무르 베크맘베토브	벤자민 워커,도미닉 쿠퍼,루퍼스 스웰,메리 엘리자베스 윈스테드
577 프로젝트	2012-08-30	한국	한국	(주)다세포클럽,(주)무브픽쳐스,(주)판타지오,(주)매니지먼트 숲	필라멘트픽쳐스	15세이상관람가	코미디,드라마	이근우	하정우,공효진,김성균,이승하,차현우,이지훈
미운오리새끼	2012-08-30	한국	한국	(주)트리니티엔터테인먼트	롯데쇼핑㈜롯데엔터테인먼트	15세이상관람가	드라마	곽경택	김준구,오달수,정예진,조혜련,한우용,김재호,이지원,남지웅,백상훈,양중경,유형균
벨 아미	2012-08-30	영국	영국,이탈리아		(주)에스비에스콘텐츠허브	청소년관람불가	드라마,멜로/로맨스	데클란 도넬란,닉 오머로드	로버트 패틴슨,우마 서먼,크리스티나 리치,크리스틴 스콧 토마스
피나	2012-08-30	독일	독일,프랑스,영국		㈜영화사 백두대간	전체관람가	다큐멘터리	빔 벤더스	피나 바우쉬
훌리오와 에밀리아	2012-08-30	칠레	칠레,아르헨티나,포르투갈,프랑스		찬란	청소년관람불가	드라마	크리스티안 히메네즈	디에고 노구에라,나탈리아 갈가니,트리니다드 곤잘레즈
락 앤 러브	2012-08-30	영국	영국		판씨네마㈜	15세이상관람가	코미디	데이빗 맥킨지	루크 트레더웨이,나탈리아 테나
영건 탐정사무소	2012-08-30	한국	한국	키노망고스틴,킹레코드	㈜인디스토리	청소년관람불가	SF,액션	오영두	홍영근,최송현,하은정,배용근,이희종,구춘모,구춘모,장윤정,조한,조현열,김신웅,김신웅,하성광,형슬우,김윤창,김희창,서병철,오세영,조승연
코드	2012-08-30	미국	미국,독일		(주)동아수출공사	청소년관람불가	범죄,스릴러,액션	미미 레더	모건 프리먼,안토니오 반데라스
메가샤크VS크로코사우러스	2012-08-30	미국	미국		(주)케이알씨지	12세이상관람가	SF,액션	크리스토퍼 레이	게리 스트레치
베스트러브 그리고 정사	2012-08-30	일본	일본		(유)조이앤컨텐츠그룹	청소년관람불가	성인물(에로)	가타오카 슈지	사야마 아이
카즈미-바디미션	2012-08-30	일본	일본		(유)조이앤컨텐츠그룹	청소년관람불가	성인물(에로)	와타베 세이치	나나우미 나나
플라토닉섹스	2012-08-30	일본	일본		(주)도키엔터테인먼트	청소년관람불가	드라마,성인물(에로)	마츠우라 마사코	카가미 사키,오다기리 조
공모자들	2012-08-29	한국	한국	(주)영화사채움	씨너스엔터테인먼트(주),타임스토리그룹(주)	청소년관람불가	범죄,스릴러	김홍선	임창정,최다니엘,오달수,조윤희,조달환,정지윤,최일화,박일목,임향주,권태호,최은용,최지향,박승명,오상진
레드라이트	2012-08-23	스페인	스페인,미국		씨제이이앤엠(주)	15세이상관람가	미스터리,스릴러	로드리고 코르테스	로버트 드니로,킬리언 머피,시고니 위버,엘리자베스 올슨
히스테리아	2012-08-23	영국	영국,프랑스,독일,룩셈부르크		예지림엔터테인먼트	청소년관람불가	코미디,멜로/로맨스	타니아 웩슬러	매기 질렌할,휴 댄시,조나단 프라이스,펠리시티 존스
제이니 존스	2012-08-23	미국	미국		프리비젼엔터테인먼트	15세이상관람가	드라마	데이빗 M. 로젠탈	아비게일 브레스린,알렉산드로 니볼라,엘리자베스 슈
5쿼터	2012-08-23	미국	미국		(주)토러스엔터테인먼트	전체관람가	드라마	릭 비버	라이언 메리먼,앤디 맥도웰,에이단 퀸
나나나 : 여배우 민낯 프로젝트	2012-08-23	한국	한국	서울독립영화제	서울독립영화제	12세이상관람가	다큐멘터리	부지영,김꽃비,서영주,양은용	김꽃비,서영주,양은용
카지노를 털어라	2012-08-23	스페인	스페인		(주)미디어로그	청소년관람불가	드라마,어드벤처,범죄	에두아르드 코르테스	다니엘 브륄,루이스 오마르,미구엘 앙겔 실베스트르,빈센트 로메로
90분	2012-08-23	한국	한국	(주)사람과사람	(주)키노아이디엠씨	청소년관람불가	스릴러	박선욱	주상욱,장미인애,이선우,박성만,유효섭
모든 것은 벗는 것으로 시작됐다	2012-08-23	일본	일본		(주)도키엔터테인먼트	청소년관람불가	성인물(에로)	나카마치 사쿠	나리타 리사
이웃사람	2012-08-22	한국	한국	영화사 무쇠팔,플로우식스(주),자이온 이엔티(주),(주)누리픽쳐스,히트박스	롯데쇼핑㈜롯데엔터테인먼트	청소년관람불가	스릴러	김휘	김윤진,마동석,천호진,김성균,김새론,임하룡,장영남,도지한,차현우,김동현,한재훈,박인규,유재현
그 시절, 우리가 좋아했던 소녀	2012-08-22	대만	대만		씨너스엔터테인먼트(주),㈜미로비젼	15세이상관람가	멜로/로맨스	구파도	가진동,진연희,언승우
대학살의 신	2012-08-16	프랑스	프랑스,독일,폴란드,스페인		판씨네마㈜	15세이상관람가	드라마,코미디	로만 폴란스키	조디 포스터,케이트 윈슬렛,크리스토프 왈츠,존 C. 레일리
아사코의 이룰 수 없는 사랑	2012-08-16	일본	일본		(유)조이앤컨텐츠그룹	청소년관람불가	성인물(에로)	타지리 유지	시지미
내 남친은 사이보그2	2012-08-16	일본	일본		(주)도키엔터테인먼트	청소년관람불가	성인물(에로)	타지리 유지	미사토 마이
토탈 리콜	2012-08-15	미국	미국,캐나다		한국소니픽쳐스릴리징브에나비스타영화㈜	15세이상관람가	SF,액션	렌 와이즈먼	콜린 파렐,케이트 베킨세일,제시카 비엘
R2B: 리턴투베이스	2012-08-15	한국	한국	(주)주머니필름,(주)빨간마후라,씨제이이앤엠(주)	씨제이이앤엠(주)	15세이상관람가	액션,드라마	김동원	정지훈,유준상,신세경,김성수,이하나,이종석,정경호,조성하,오달수,정석원,임태열,정호빈,김성철,이웅규,윤승남
스텝업4 : 레볼루션	2012-08-15	미국	미국		롯데쇼핑㈜롯데엔터테인먼트	12세이상관람가	멜로/로맨스	스콧 스피어	라이언 구즈만,캐서린 맥코믹,메간 본,애덤 G. 세바니
신혼부부 러브 다이어리	2012-08-14	일본	일본		(주)도키엔터테인먼트	청소년관람불가	성인물(에로)	요코야마 카즈히로	요코야마 미유키
신혼부부 러브 다이어리2	2012-08-14	일본	일본		(주)도키엔터테인먼트	청소년관람불가	성인물(에로)	요코야마 카즈히로	모리시타 유리
여인의 숨결	2012-08-10	한국	한국	(주)케이알씨지	(주)케이알씨지	청소년관람불가	드라마	이세일	강지원,김보미
아메리칸 파이: 19금 동창회	2012-08-09	미국	미국		유니버설픽쳐스인터내셔널 코리아(유)	청소년관람불가	코미디,멜로/로맨스	존 허위츠,헤이든 쉬로스버그	제이슨 빅스,크리스 클라인,숀 윌리엄 스코트,에디 케이 토마스,토마스 이안 니콜라스
시스터	2012-08-09	프랑스	프랑스,스위스		그린나래미디어(주)	12세이상관람가	드라마	우슬라 마이어	레아 세이두,캐시 모텟 클레인,질리언 앤더슨,마틴 콤스턴
광대를 위한 슬픈 발라드	2012-08-09	스페인	스페인,프랑스		오드	청소년관람불가	공포(호러),코미디,스릴러,드라마,전쟁	알렉스 드 라 이글레시아	카를로스 아레세스,안토니오 드 라 토레,캐롤라이나 뱅
러브	2012-08-09	대만	대만,중국		(주)에스와이코마드	15세이상관람가	드라마,멜로/로맨스,코미디	유승택	조미,서기,조우정,펑위옌,원경천,유승택
프로젝트 님	2012-08-09	영국	영국		(주)영화사 조제	12세이상관람가	다큐멘터리	제임스 마쉬	번 코엔,레이건 레너드
이프 유 다이	2012-08-09	프랑스	프랑스		(주)팝엔터테인먼트	15세이상관람가	드라마,코미디	이네 살림	조나단 자카이,골시프테 파라하니
나오미의 아찔한 정사	2012-08-09	일본	일본		(유)조이앤컨텐츠그룹	청소년관람불가	멜로/로맨스,드라마,성인물(에로)	쿄우야 타다시	카스미 카오
스테이크 랜드	2012-08-09	미국	미국		(주)소나무픽쳐스	청소년관람불가	공포(호러),액션	짐 믹클	코너 파올로,닉 다미치,다니엘 해리스,켈리 맥길리스
금병매 감독판	2012-08-09	홍콩	홍콩		(주)케이알씨지	청소년관람불가	멜로/로맨스	전문기	임위건
바람과 함께 사라지다	2012-08-08	한국	한국	(주)두타연,(유)에이디사공육	(주)넥스트엔터테인먼트월드(NEW)	12세이상관람가	코미디,사극	김주호	차태현,오지호,민효린,성동일,신정근,고창석,송종호,이채영,김길동,천보근,김향기,최대호,정종열,이채영,임창훈,임혜인,최광덕,최태환,이아람,이예은,이주현
나는 왕이로소이다	2012-08-08	한국	한국	데이지엔터테인먼트	롯데쇼핑㈜롯데엔터테인먼트	12세이상관람가	사극,코미디	장규성	주지훈,백윤식,변희봉,박영규,임원희,이하늬,백도빈,김수로,김소현,전지혜,정지현,조대희,최대원,김상용,한여울,이림,김형주,박준서,박혜민,신승훈,유지혜
빌리와 용감한 녀석들 3D	2012-08-08	독일	독일		(주)에스비에스콘텐츠허브	전체관람가	애니메이션,가족	라인하드 클루스,호거 태프	
황제펭귄 펭이와 솜이	2012-08-08	한국	한국	㈜MBC	(주)씨타마운틴픽쳐스	전체관람가	다큐멘터리	김진만,김재영	송중기
러브호텔에서 생긴 일	2012-08-07	일본	일본		(주)도키엔터테인먼트	청소년관람불가	성인물(에로)	카와무라 키요토	한다 사사
락 오브 에이지	2012-08-02	미국	미국		워너브러더스 (주)	15세이상관람가	뮤지컬,드라마	아담 쉥크만	톰 크루즈,캐서린 제타-존스,알렉 볼드윈,폴 지아마티,말린 애커맨,줄리안 허프,디에고 보네타,러셀 브랜드
