Movie_Title	Release_Date	Nationality_First	Nationality	Production_Company	Distributor	Movie_Rate	Genre	Director	Actor
세븐 싸이코패스	2014-09-18	영국	영국		(주)미디어로그	청소년관람불가	코미디	마틴 맥도나	콜린 파렐,샘 록웰,우디 해럴슨,애비 코니시
그랜드 센트럴	2014-09-18	프랑스	프랑스, 오스트리아		(주)씨에이씨엔터테인먼트	청소년관람불가	멜로/로맨스,드라마	레베카 즐로토브스키	레아 세이두,타하 라힘
퍼즐	2014-09-18	일본	일본		(주)캔들미디어	청소년관람불가	공포(호러)	나이토 에이스케	노무라 슈헤이,카호
블랙 앤 화이트	2014-09-18	대만	대만		(주)미디어데이	15세이상관람가	액션,스릴러	채악훈	조우정,안젤라 베이비,진의함,황보
유혹	2014-09-18	홍콩	홍콩		씨네그루(주)다우기술	청소년관람불가	멜로/로맨스	도걸	관초요,서천우
러브 호텔	2014-09-18	일본	일본		(주)씨타마운틴픽쳐스	청소년관람불가	드라마	소마이 신지	테라다 미노리,하야미 노리코
친구와 애인사이	2014-09-18	미국	미국		(주)마인스 엔터테인먼트	청소년관람불가	코미디,멜로/로맨스	허셜 파버	스카이라 애스틴,카밀라 벨,채드 마이클 머레이
리들	2014-09-18	미국	미국		페어팍스인터내셔날(주)	청소년관람불가	미스터리,스릴러	존 O. 하트먼	엘리자베스 하노이스,발 킬머,윌리엄 새들러
파라노이아	2014-09-18	미국	미국,프랑스		(주)누리픽쳐스	15세이상관람가	드라마,스릴러	로버트 루케틱	리암 헴스워스,게리 올드만,엠버 허드,해리슨 포드
먹이사슬	2014-09-17	한국	한국		노바엔터테인먼트	청소년관람불가	멜로/로맨스	한동호	윤설희,엄다혜
위험한 유혹 ? 추억이 떠나면 외로움만 남는다	2014-09-17	한국	한국		(주)케이알씨지	청소년관람불가	멜로/로맨스,드라마	이상화	추선
전장의 묵시록	2014-09-17	폴란드	폴란드		스크린조이	청소년관람불가	전쟁,드라마	마르신 크르즈스탈로윅스	마신 도로신스키
꽃과 뱀: 더 제로	2014-09-17	일본	일본		(주)엔케이컨텐츠	청소년관람불가	스릴러	하시모토 하지메	아마노 마이코
히든 페이스	2014-09-17	스페인	스페인		(주)더블앤조이픽쳐스	청소년관람불가	스릴러	안드레스 바이즈	킴 구티에레즈,마르티나 가르시아
토네이도	2014-09-17	미국	미국		스크린조이	15세이상관람가	SF	토도 채프카노브	제이슨 런던,웨스 브라운
루이의 성감 클리닉	2014-09-17	일본	일본		(주)도키엔터테인먼트	청소년관람불가	성인물(에로)	스네다 사토시	아사히나 루이
재팬 와이프의 침대	2014-09-17	일본	일본		(주)도키엔터테인먼트	청소년관람불가	성인물(에로)	칸바라 나오토	모치다 아카네
쎄븐 플로어	2014-09-15	스페인	스페인		(주)더블앤조이픽쳐스	15세이상관람가	스릴러	파트시 아메즈쿠아	리카르도 다린,벨렌 루에다
포비아 2	2014-09-14	태국	태국		(주)더블앤조이픽쳐스	청소년관람불가	공포(호러)	반종 피산다나쿤	찰리 트레이랫
포비아	2014-09-13	태국	태국		(주)더블앤조이픽쳐스	청소년관람불가	공포(호러)	반종 피산다나쿤,파윈 푸리킷판야,용유스 통콘툰,팍품 웡품	레일라 분야삭,아핀야 사쿨자로엔숙
우리 사랑하는 동안	2014-09-13	미국	미국		(주)수키픽쳐스	청소년관람불가	드라마	캣 코이로	케이트 보스워스,제이미 블랙리,클레어 블룸,이도 골드버그
메가 스파이더	2014-09-12	미국	미국		(주)소나무픽쳐스	15세이상관람가	코미디,SF	마이크 멘데즈	그렉 그룬버그
언포기븐	2014-09-12	스페인	스페인		(주)더블앤조이픽쳐스	15세이상관람가	스릴러	엔리케 우르비주	호세 코로나도
OL의 성	2014-09-12	일본	일본		(주)제이에이와이이엔터테인먼트	청소년관람불가	공포(호러)	마츠우라 히로나오	타카시마 미스즈
씬 시티: 다크히어로의 부활	2014-09-11	미국	미국		메가박스(주)플러스엠	청소년관람불가	액션,범죄,스릴러	프랭크 밀러,로버트 로드리게즈	조셉 고든 레빗,에바 그린,제시카 알바,브루스 윌리스,미키 루크,조쉬 브롤린
마녀	2014-09-11	한국	한국	흰수염고래영화사	CGV 무비꼴라쥬	청소년관람불가	공포(호러),스릴러,드라마	유영선	박주희,나수윤,이미소
나의 첫번째 장례식	2014-09-11	벨기에	벨기에		(주)판다미디어	15세이상관람가	코미디	샘 가바르스키	모리츠 블라이브트로이,패트리시아 아퀘트
1월의 두 얼굴	2014-09-11	영국	영국,미국,프랑스		(주)영화사 진진	15세이상관람가	스릴러	호세인 아미니	비고 모텐슨,커스틴 던스트,오스카 아이삭
모라토리움기의 다마코	2014-09-11	일본	일본		오드	12세이상관람가	코미디	야마시타 노부히로	마에다 아츠코,칸 스온
레쓰링	2014-09-11	한국	한국	아일랜드픽처스(주)	(주)박수엔터테인먼트	청소년관람불가	코미디	김호준	최성국,송은채,하나경
원 컷 - 어느 친절한 살인자의 기록	2014-09-11	한국	한국,일본	(주)영화사조아	(주)씨타마운틴픽쳐스	청소년관람불가	공포(호러)	시라이시 코지	연제욱,김꽃비,아오이 츠카사,요네무라 료타로
큐브: 예스 오어 노	2014-09-11	이탈리아	이탈리아		(주)미디어데이	15세이상관람가	스릴러	엔리코 클레리코 나시노	존 브라더튼,엘렌 홀맨,가브리엘 마이어스,제이 해링턴
배드 키즈 고우 투 헬	2014-09-11	미국	미국		(주)토러스엔터테인먼트	청소년관람불가	스릴러,공포(호러)	매튜 스프라들린	주드 넬슨,벤 브로우더,차넬 라이언,알리 폴크너
음란한 비밀고백	2014-09-10	일본	일본		(주)도키엔터테인먼트	청소년관람불가	성인물(에로)	칸바라 나오토	와카나 루비
진격의 애인 감독판	2014-09-10	일본	일본		(주)도키엔터테인먼트	청소년관람불가	성인물(에로)	하세가와 타다유키	아베노 미쿠
여배우 공작단 무삭제판	2014-09-10	한국	한국	(주)케이알씨지	(주)케이알씨지	청소년관람불가	멜로/로맨스,드라마	전태윤	이자은,허동원
맨 온 더 트레인	2014-09-07	캐나다	캐나다,아일랜드		(주)수키픽쳐스	15세이상관람가	드라마	매리 맥귀키언	도날드 서덜랜드,래리 멀렌 주니어
마야	2014-09-04	독일	독일,호주		(주)박수엔터테인먼트	전체관람가	애니메이션	알렉스 스타더만	김서영,홍소영
극장판 도라에몽: 진구의 아프리카 모험 ~베코와 5인의 탐험대~	2014-09-04	일본	일본		이수C&E	전체관람가	애니메이션,어드벤처	야쿠와 신노스케	미즈타 와사비,오오하라 메구미
쿰바: 반쪽무늬 얼룩말의 대모험	2014-09-04	남아프리카공화국	남아프리카공화국		(주)와이즈베이	전체관람가	애니메이션,어드벤처,가족	앤서니 실버스톤	제이크 T. 오스틴,안나소피아 롭,캐서린 테이트,리암 니슨,로렌스 피쉬번
자유의 언덕	2014-09-04	한국	한국	(주)영화제작전원사	(주)영화제작전원사 ,(주)영화사 조제	청소년관람불가	드라마	홍상수	카세 료,문소리,서영화
순천	2014-09-04	한국	한국	(주)리키필름	(주)인디플러그	전체관람가	다큐멘터리	이홍기	윤우숙
샤크어택	2014-09-04	캐나다	캐나다		(주)소나무픽쳐스	청소년관람불가	액션,공포(호러),SF	스콧 휠러	케이트 노오타,알렉산더 멘델룩
하늘의 황금마차	2014-09-04	한국	한국	국가인권위원회,주식회사 자파리필름	(주)영화사 진진	12세이상관람가	드라마	오멸	문석범,김동호,양정원,이경준,킹스턴 루디스카
마이애미 대침몰	2014-09-04	미국	미국		스크린조이	12세이상관람가	SF,액션	토도 채프카노브	레이첼 헌터
명검	2014-09-04	홍콩	홍콩		(주)케이알씨지	15세이상관람가	스릴러	담가명	정소추,진기기,서소강
불량경찰 3	2014-09-04	스페인	스페인		(주)소나무픽쳐스	청소년관람불가	코미디,범죄	산티아고 세구라	산티아고 세구라
바이올렛 앤 데이지	2014-09-04	미국	미국		(주)미디어데이	청소년관람불가	액션,스릴러	제프리 플레쳐	시얼샤 로넌,알렉시스 블레델,제임스 갠돌피니,대니 트레조
타짜-신의 손	2014-09-03	한국	한국	싸이더스 픽쳐스	롯데쇼핑㈜롯데엔터테인먼트,싸이더스 픽쳐스	청소년관람불가	드라마	강형철	최승현,신세경,곽도원,유해진,김윤석,이하늬,김인권,이경영,고수희,오정세,박효주
루시	2014-09-03	미국	미국,프랑스		유니버설픽쳐스인터내셔널 코리아(유)	청소년관람불가	액션	뤽 베송	스칼렛 요한슨,모건 프리먼,최민식
두근두근 내 인생	2014-09-03	한국	한국	영화사 집	씨제이이앤엠(주)	12세이상관람가	드라마	이재용	송혜교,강동원,조성목
스텝 업: 올 인	2014-09-03	미국	미국		(주)나이너스엔터테인먼트	12세이상관람가	드라마,멜로/로맨스	트리시 시에	라이언 구즈만,브리아나 에비건,애덤 G. 세바니,알리슨 스토너
선샤인 온 리스	2014-09-03	영국	영국		(주)팝엔터테인먼트	12세이상관람가	뮤지컬	덱스터 플레처	피터 뮬란,조지 맥케이,제인 호록스,안토니아 토마스,프레야 메이버,케빈 구스리,제이슨 플레밍,폴 프래니건
아포칼립스 2014	2014-09-03	미국	미국		(주)케이알씨지	12세이상관람가	SF,액션,전쟁	벤 드마리	아드리안 폴,존 라이스 데이비스
어메이징 뮤턴트	2014-09-03	홍콩	홍콩		(유)조이앤컨텐츠그룹	전체관람가	액션,어드벤처	스튜어트 길라드	엘리어스 코티스,페이지 터코,스튜어트 윌슨
모모키야여관 포르노 촬영기	2014-09-03	일본	일본		(주)도키엔터테인먼트	청소년관람불가	성인물(에로)	조조 히데오	니시노 쇼,하야세 아리스
유혹의 노출클럽	2014-09-03	일본	일본		(주)도키엔터테인먼트	청소년관람불가	성인물(에로)	칸바라 나오토	카에데 아이루
두 아내 무삭제 감독판	2014-09-02	한국	한국	(유)조이앤컨텐츠그룹	(유)조이앤컨텐츠그룹	청소년관람불가	멜로/로맨스,드라마	이숭환	고은총
비히클19: 폴워커 마지막 질주	2014-09-02	미국	미국		(유)조이앤컨텐츠그룹	15세이상관람가	스릴러,액션	무쿤다 마이클 드윌	폴 워커
황금대겁안	2014-08-30	중국	중국		(주)액티버스엔터테인먼트	15세이상관람가	코미디,액션	닝 하오	도홍,뇌가음,청위안위안
오오키가의 즐거운 여행 : 신혼지옥편	2014-08-29	일본	일본		(주)제이에이와이이엔터테인먼트	12세이상관람가	코미디	혼다 류이치	타케노우치 유타카
인투 더 스톰	2014-08-28	미국	미국		워너브러더스 (주)	12세이상관람가	액션,스릴러	스티븐 쿼일	리차드 아미티지,사라 웨인 콜리스,제레미 섬터
닌자터틀	2014-08-28	미국	미국		씨제이이앤엠(주)	12세이상관람가	액션,어드벤처,코미디	조나단 리브스만	메간 폭스,윌리엄 피츠너,앨런 리치슨,노엘 휘셔,제레미 하워드,피터 플로스잭
야간비행	2014-08-28	한국	한국	시네마달	(주)엣나인필름	청소년관람불가	드라마	이송희일	곽시양,이재준,최준하,김창환,이익준
브레이브 래빗 : 새로운 영웅의 탄생	2014-08-28	중국	중국		브릿지웍스 엔터테인먼트(주)	전체관람가	애니메이션,어드벤처	정 셴린	
찰리 컨트리맨	2014-08-28	미국	미국,루마니아		(주)더블앤조이픽쳐스	청소년관람불가	코미디,멜로/로맨스,액션	프레드릭 본드	샤이아 라보프,에반 레이첼 우드,매즈 미켈슨
원피스 : 에피소드 오브 메리 ~ 또 하나의 동료 이야기 ~	2014-08-28	일본	일본		와이드 릴리즈(주)	15세이상관람가	애니메이션,판타지,어드벤처	토코로 카츠미	타나카 마유미,야마구치 캇페이,오카무라 아케미
