Movie_Title	Release_Date	Revenue	Spectator_Number	Screen_Number	Play_Number	Nationality	All_Nationality	Distributor
마리아 스투아르다	2013-09-07	12755500	523	2	24	미국	미국	(주)인스터피씨엠
마린	2012-12-06	32450500	4409	13	294	프랑스	프랑스	프리비젼엔터테인먼트
마린보이	2009-02-05	5503176500	827647	340	26345	한국	한국	씨제이엔터테인먼트(주)
마린스키 발레 지젤 3D	2012-11-01	22651000	1377	3	63	러시아	러시아	(주)인스터피씨엠
마린스키 발레 지젤 3D	2012-11-01	14748000	1195	2	36	러시아	러시아	(주)인스터피씨엠
마린스키 발레: 호두까기 인형 3D	2012-12-06	33277000	2030	7	96	러시아	러시아	(주)인스터피씨엠
마린스키 발레: 호두까기 인형 3D	2012-12-06	15640000	1409	1	31	러시아	러시아	(주)인스터피씨엠
마릴린 먼로와 함께한 일주일	2012-02-29	148370000	19387	81	1652	영국	영국,미국	싸이더스 픽쳐스
마마	2013-01-23	662161500	91143	164	4091	미국	미국	유니버설픽쳐스인터내셔널 코리아(유)
마마	2011-06-01	1642407500	243209	269	12667	한국	한국	롯데쇼핑㈜롯데엔터테인먼트
마마 고고	2011-06-02	3434000	484	1	52	아이슬란드	아이슬란드	(주)영화사 조제
마마 앤드 파파	2010-05-20	22116000	3099	1	89	한국	한국	케이엠스타
마미야 형제	2007-03-08	11255500	1686	2	138	일본	일본	스폰지
마법경찰 갈갈이와 옥동자	2004-02-13	18446500	3074	13	252	한국	한국	콜럼비아트라이스타㈜
마법사들	2006-03-30	38682500	6456	8	437	한국	한국	(주)드림컴스
마법사들	2006-03-30	2968400	621	1	7	한국	한국	(주)드림컴스
마법사의 제자	2010-07-21	4057522000	570775	300	19017	미국	미국	한국소니픽쳐스릴리징브에나비스타영화㈜
마법에 걸린 사랑	2008-01-10	2746316500	429007	247	16813	미국	미국	한국소니픽쳐스릴리징브에나비스타영화㈜
마법의 섬	2012-07-04	22253000	792	2	35	미국	미국	(주)인스터피씨엠
마법의 세계 녹터나	2009-08-27	231883000	35424	151	3283	스페인	스페인,프랑스	롯데쇼핑㈜롯데엔터테인먼트
마법의 세계 녹터나	2009-08-27	3968500	654	3	22	스페인	스페인,프랑스	롯데쇼핑㈜롯데엔터테인먼트
마법천자문: 대마왕의 부활을 막아라	2010-08-19	788079000	121572	180	5576	한국	한국	씨제이엔터테인먼트(주)
마세티 킬즈	2013-11-21	17977500	5115	21	246	미국	미국	(주)팝엔터테인먼트
마셰티	2011-04-21	27981000	3702	35	591	미국	미국	(주)화앤담이엔티
마술피리	2014-08-02	40326500	2658	5	111	독일	독일	주식회사 아트앤픽쳐
