Movie_Title	Release_Date	Revenue	Spectator_Number	Screen_Number	Play_Number	Nationality	All_Nationality	Distributor
21	2008-06-19	731977600	108825	64	3046	미국	미국	한국소니픽쳐스릴리징브에나비스타영화㈜
300	2007-03-14	18683698500	2929561	402	60856	미국	미국	워너브러더스 (주)
1408	2007-08-01	1641191000	252878	153	6993	미국	미국	롯데쇼핑㈜롯데엔터테인먼트
2012	2009-11-12	38933825000	5396890	876	89119	미국	미국	한국소니픽쳐스릴리징브에나비스타영화㈜
2046	2004-10-15	795840500	122913	69	4339	홍콩	홍콩	이십세기폭스필름코퍼레이션
007 북경특급 2	2014-05-01	925000	329	5	20	홍콩	홍콩	(주)케이알씨지
007 스카이폴	2012-10-26	17487213000	2376145	748	51357	미국	미국,영국	소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
007 카지노 로얄	2006-12-21	4991296000	811405	334	15383	미국	미국	한국소니픽쳐스릴리징브에나비스타영화㈜
007 카지노 로얄	2006-12-21	1275879700	200682	227	5882	미국	미국	한국소니픽쳐스릴리징브에나비스타영화㈜
007 퀀텀 오브 솔러스	2008-11-05	14389307000	2205159	520	70774	미국	미국	한국소니픽쳐스릴리징브에나비스타영화㈜
009 사이보그	2013-05-09	13154500	1656	26	367	일본	일본	씨너스엔터테인먼트(주),㈜T-JOY
10 아이템 오어 레스	2013-06-13	8207000	1676	13	97	미국	미국	(주)액티버스엔터테인먼트
10,000 BC	2008-03-13	7443923500	1134364	362	38983	미국	미국	워너브러더스 (주)
100 피트	2008-07-24	505925500	76985	133	4144	미국	미국	싸이더스 픽쳐스
10분	2014-04-24	24284400	3158	23	502	한국	한국	롯데쇼핑㈜롯데엔터테인먼트
10억	2009-08-06	3107403000	433866	252	12744	한국	한국,호주	싸이더스 픽쳐스
10일간의 원나잇 스탠드	2012-11-29	3180000	1510	1	6	프랑스	프랑스	(주)소나무픽쳐스
127시간	2011-02-17	1337550500	180846	233	10078	미국	미국	이십세기폭스코리아(주)
13 자메티	2007-06-29	5831000	856	2	129	프랑스	프랑스	(주)이모션픽처스
13구역	2006-08-24	1416115000	222568	72	6324	프랑스	프랑스	(주)프라임엔터테인먼트
13구역: 얼티메이텀	2009-04-16	3350741175	501736	246	22442	프랑스	프랑스	㈜케이디미디어
13일의 금요일	2009-03-12	1467520500	208118	138	9648	미국	미국	씨제이엔터테인먼트(주)
1724 기방난동사건	2008-12-03	1897779000	288424	340	19029	한국	한국	싸이더스 픽쳐스
1789, 바스티유의 연인들	2014-09-18	64119000	3723	35	403	한국	한국	유니버설픽쳐스인터내셔널 코리아(유)
18: 우리들의 성장 느와르	2014-08-14	8697000	1121	15	152	한국	한국	어뮤즈
1999, 면회	2013-02-21	23525300	3342	20	538	한국	한국	㈜인디스토리
19-Nineteen	2009-11-12	208491500	32433	64	1874	한국	한국	씨제이엔터테인먼트(주)
19곰 테드	2012-09-27	2034959293	266574	248	10374	미국	미국	유니버설픽쳐스인터내셔널 코리아(유)
1번가의 기적	2007-02-14	15494034100	2535431	340	54562	한국	한국	씨제이엔터테인먼트(주)
1월의 두 얼굴	2014-09-11	33553300	4698	45	540	영국	영국,미국,프랑스	(주)영화사 진진
2 데이즈 인 뉴욕	2013-08-29	47935000	6291	19	416	프랑스	프랑스,벨기에,독일	예지림엔터테인먼트
20 30 40	2004-10-22	7264500	1125	9	181	대만	대만	한국소니픽쳐스릴리징브에나비스타영화㈜
20 30 40	2004-10-22	1864000	425	1	6	대만	대만	한국소니픽쳐스릴리징브에나비스타영화㈜
2008 서태지 심포니 위드 톨가 카쉬프 로열필하모닉	2010-01-22	129241000	16446	1	80	한국	한국	
2008 서태지 심포니 위드 톨가 카쉬프 로열필하모닉	2010-01-22	4263000	505	1	9	한국	한국	
2008 서태지 심포니 위드 톨가 카쉬프 로열필하모닉	2010-01-22	3081000	313	1	2	한국	한국	
2010 빅뱅라이브콘서트 BIGSHOW 3D	2011-02-02	127441000	11948	27	619	한국	한국	(주)에스비에스콘텐츠허브
2011 일본 멜로영화 기획전-지금, 만나러 갑니다	2005-03-25	1031872500	165601	120	6467	일본	일본	롯데쇼핑㈜롯데엔터테인먼트
2011 일본 멜로영화 기획전-지금, 만나러 갑니다	2005-03-25	2260000	451	1	11	일본	일본	롯데쇼핑㈜롯데엔터테인먼트
2014 베를린 필하모닉 발트뷔네 콘서트	2014-08-04	7383000	454	2	12	독일	독일	주식회사 아트앤픽쳐
20세기 소년	2008-09-11	1146104500	183069	212	8304	일본	일본	㈜메가박스
20세기 소년-제2장: 마지막 희망	2009-12-17	10248500	1448	11	240	일본	일본	㈜메가박스
21 그램	2004-10-23	420278500	63811	59	3092	미국	미국	(주)영화사한결
21 그램	2004-10-23	2175500	483	1	6	미국	미국	(주)영화사한결
22 블렛	2010-10-14	975507500	128534	237	12241	프랑스	프랑스	㈜케이디미디어
24 시티	2009-01-29	12733000	1809	1	101	중국	중국	위드시네마
26년	2012-11-29	21111878145	2940475	611	50044	한국	한국	(주)인벤트스톤,영화사청어람(주)
26년	2012-11-29	130489000	23177	29	635	한국	한국	(주)인벤트스톤,영화사청어람(주)
27번의 결혼리허설	2008-03-06	1602927500	239739	221	13670	미국	미국	이십세기폭스필름코퍼레이션
2AM SHOW	2010-12-09	45518000	4020	27	320	한국	한국	에스케이텔레콤(주)
2월 29일 - 어느날 갑자기 첫번째 이야기	2006-07-21	354839000	56958	20	962	한국	한국	씨제이엔터테인먼트(주)
3:10 투 유마	2008-02-21	303702500	47061	141	5116	미국	미국	(주)시네마서비스
300: 제국의 부활	2014-03-06	13395159700	1593116	720	54902	미국	미국	워너브러더스 (주)
3-4X10월	2004-08-20	10045000	1759	1	56	일본	일본	(주)스폰지이엔티
3xFTM	2009-06-04	7298000	1127	5	165	한국	한국	시네마달,미디어지따
4 브라더스	2005-10-14	519182000	79811	92	4540	미국	미국	UIP코리아
4.4.4	2007-06-20	1403985500	208645	142	11949	미국	미국,러시아	쇼박스㈜미디어플렉스
40살까지 못해본 사람	2005-11-04	325572000	50339	83	2951	미국	미국	UIP코리아
48미터	2013-07-04	102714000	13418	35	950	한국	한국	씨제이이앤엠(주)
48미터	2013-07-04	2200000	440	1	2	한국	한국	씨제이이앤엠(주)
4개월, 3주... 그리고 2일	2008-02-28	51148500	7887	9	628	프랑스	프랑스	(주)유레카픽쳐스
4교시 추리영역	2009-08-12	459533500	67602	170	4904	한국	한국	롯데쇼핑㈜롯데엔터테인먼트
4요일: 자살을 부르는 요일	2008-12-11	182990000	26962	132	3825	한국	한국	메가픽쳐스제이씨(주)
50/50	2011-11-24	1019768500	135985	159	6860	미국	미국	롯데쇼핑㈜롯데엔터테인먼트
50/50	2011-11-24	9960000	1220	7	58	미국	미국	롯데쇼핑㈜롯데엔터테인먼트
500일의 썸머	2010-01-21	1044749500	137500	188	9259	미국	미국	이십세기폭스코리아(주)
577 프로젝트	2012-08-30	695765500	96079	191	5040	한국	한국	필라멘트픽쳐스
5x2	2006-05-26	21501500	3155	2	166	프랑스	프랑스	(주)스폰지이엔티
5백만불의 사나이	2012-07-19	739789500	104736	331	6393	한국	한국	씨제이이앤엠(주)
5월의 구름	2005-04-28	4528000	741	1	179	터키	터키	(주)문필름코리아
5일의 마중	2014-10-08	180222600	23764	86	1241	중국	중국	찬란
5쿼터	2012-08-23	13905500	1909	19	250	미국	미국	(주)토러스엔터테인먼트
60만번의 트라이	2014-09-18	137033900	19514	76	1438	한국	한국,일본	㈜인디스토리
69 식스티 나인	2005-03-25	95813000	14434	18	818	일본	일본	스폰지
6년째 연애중	2008-02-05	7422697000	1112238	326	27464	한국	한국	(주)스튜디오210
6월의 뱀	2004-12-10	17850000	2718	7	292	일본	일본	(주)마블엔터테인먼트
6월의 일기	2005-12-01	3645962000	593867	169	15245	한국	한국	쇼박스㈜미디어플렉스
7광구	2011-08-04	19391653500	2242510	812	47346	한국	한국	씨제이이앤엠(주)
7급 공무원	2009-04-22	26380710000	4039891	475	90779	한국	한국	롯데쇼핑㈜롯데엔터테인먼트
7번방의 선물	2013-01-23	91431914670	12811206	866	166815	한국	한국	(주)넥스트엔터테인먼트월드(NEW)
7월 32일	2010-04-22	4605500	742	3	99	한국	한국	㈜기억속의매미
80일간의 세계 일주	2004-09-17	3016226000	477424	104	10915	미국	미국	쇼박스㈜미디어플렉스
88분	2008-05-29	1862630500	281781	199	11962	미국	미국,독일,캐나다	(주)프라임엔터테인먼트
8명의 여인들	2004-02-27	117192000	17900	10	427	프랑스	프랑스	무비즈엔터테인먼트㈜
8월의 일요일들	2006-09-29	8928500	1532	3	129	한국	한국	㈜인디스토리
8인: 최후의 결사단	2010-01-21	864912500	114929	158	6989	중국	중국	씨제이엔터테인먼트(주)
9:나인	2009-09-09	694084000	96332	186	7723	미국	미국	에스케이텔레콤(주)
A-특공대	2010-06-10	5795794000	777985	323	26460	미국	미국	이십세기폭스코리아(주)
BB프로젝트	2006-09-28	2073130500	349173	136	12364	홍콩	홍콩	브에나비스타인터내셔널코리아
B형 남자친구	2005-02-03	7324579000	1174581	167	20316	한국	한국	롯데쇼핑㈜롯데엔터테인먼트
CJ7:장강7호	2008-08-21	1955693500	312576	248	17624	홍콩	홍콩	㈜스튜디오이쩜영
D-day-어느날 갑자기 세번째 이야기	2006-08-03	120192500	19812	14	484	한국	한국	씨제이엔터테인먼트(주)
DMZ, 비무장지대	2004-11-26	659079000	102233	65	4649	한국	한국	영화사청어람(주)
DOA	2006-10-19	786441700	129753	158	8042	독일	독일,영국	(주)시네마서비스
GP 506	2008-04-03	6316842000	936945	355	35830	한국	한국	쇼박스㈜미디어플렉스
G-포스: 기니피그 특공대	2010-04-22	405615000	39522	82	2411	미국	미국	한국소니픽쳐스릴리징브에나비스타영화㈜
I AM	2012-06-21	245731000	33008	137	2683	한국	한국	씨제이이앤엠(주)
Jam Docu 강정	2011-12-22	3597500	581	4	84	한국	한국	시네마달,(사)한국독립영화협회
Jam Docu 강정	2011-12-22	2166500	310	3	27	한국	한국	시네마달,(사)한국독립영화협회
MB의 추억	2012-10-18	112375100	14954	14	765	한국	한국	스튜디오느림보
MR. 후아유	2008-01-03	156714500	23626	8	1482	미국	미국	필름메신저
Mr.로빈 꼬시기	2006-12-07	3953478200	670540	301	20034	한국	한국	롯데쇼핑㈜롯데엔터테인먼트
Mr.로빈 꼬시기	2006-12-07	36882000	9701	4	76	한국	한국	롯데쇼핑㈜롯데엔터테인먼트
Mr.스타벅	2012-09-13	39371542	5312	27	433	캐나다	캐나다	(주)에스와이코마드
Mr.아이돌	2011-11-03	515508500	74261	311	8669	한국	한국	롯데쇼핑㈜롯데엔터테인먼트,(주)시너지하우스 (시너지)
Mr.히치: 당신을 위한 데이트 코치	2005-03-11	3966502500	607754	142	15423	미국	미국	소니픽쳐스릴리징코리아
P.S. 아이 러브 유	2008-01-03	2119331000	313867	196	11816	미국	미국	쇼박스㈜미디어플렉스
pm 11:14	2005-06-02	1472278500	228934	78	6943	미국	미국	쇼박스㈜미디어플렉스
R.I.P.D. : 알.아이.피.디.	2013-08-22	725451071	101460	268	5744	미국	미국	유니버설픽쳐스인터내셔널 코리아(유)
R2B: 리턴투베이스	2012-08-15	8602921371	1201944	539	32881	한국	한국	씨제이이앤엠(주)
REC 알이씨	2011-11-24	21563500	2701	9	226	한국	한국	(주)영화사 진진
S 다이어리	2004-10-22	7024070500	1098583	169	20150	한국	한국	씨제이엔터테인먼트(주),아이러브시네마
S 중독자의 고백	2011-12-29	8769000	1100	4	24	스페인	스페인	팝엔터테인먼트
SM작가	2014-02-06	4204000	504	2	16	일본	일본	시네마 뉴원
SX 테잎	2014-05-29	55420100	7229	70	688	미국	미국	(주)팝엔터테인먼트
S러버	2009-09-17	717509000	93508	198	9448	미국	미국	싸이더스 픽쳐스
U.F.O.	2012-05-24	7129000	987	11	240	한국	한국	㈜인디스토리
가구야공주 이야기	2014-06-04	125582300	16439	77	994	일본	일본	롯데쇼핑㈜롯데엔터테인먼트
가까이서 본기차	2007-05-10	31871000	4601	1	125	체코	체코	㈜영화사 백두대간
가능한 변화들	2005-03-18	13703500	2011	6	163	한국	한국	(주)무비넷
가디언	2006-11-02	882188000	143126	102	4998	미국	미국	브에나비스타인터내셔널코리아
가디언의 전설	2010-10-28	2613934200	302318	267	14421	미국	미국,호주	워너브러더스 (주)
가디언즈	2012-11-29	8083010500	1056250	470	21045	미국	미국	씨제이이앤엠(주)
가디언즈	2012-11-29	130597500	19598	53	613	미국	미국	씨제이이앤엠(주)
가디언즈 오브 갤럭시	2014-07-31	11098510184	1311232	539	22425	미국	미국	소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
가루지기	2008-04-30	1777803000	269478	311	17600	한국	한국	쇼박스㈜미디어플렉스
가면	2007-12-27	1185895000	177220	200	5551	한국	한국	롯데쇼핑㈜롯데엔터테인먼트
가면	2007-12-27	953588000	141394	167	5815	한국	한국	롯데쇼핑㈜롯데엔터테인먼트
가면무도회	2013-06-29	25413000	1017	2	49	미국	미국	(주)인스터피씨엠
가문의 부활 - 가문의 영광3	2006-09-21	15996330400	2598859	444	51434	한국	한국	쇼박스㈜미디어플렉스
가문의 영광4 - 가문의 수난	2011-09-07	17792219500	2368267	537	48432	한국	한국	(주)넥스트엔터테인먼트월드(NEW)
가문의 영광5 - 가문의 귀환	2012-12-19	7245056500	1012223	447	22573	한국	한국	롯데쇼핑㈜롯데엔터테인먼트
가문의 영광5 - 가문의 귀환	2012-12-19	1085286000	147798	224	6856	한국	한국	롯데쇼핑㈜롯데엔터테인먼트
가문의 위기(가문의 영광2)	2005-09-07	28622355500	4529876	351	61009	한국	한국	쇼박스㈜미디어플렉스
가발	2005-08-12	2816190000	448161	145	10156	한국	한국	씨제이엔터테인먼트(주)
가부와 메이 이야기	2006-02-09	1435503000	249924	84	6295	일본	일본	(주)엠케이픽처스 ,에이원엔터테인먼트
가비	2012-03-15	1969360500	270602	339	17388	한국	한국	(주)시네마서비스
가시	2014-04-10	1095301000	142170	356	11622	한국	한국	(주)인벤트스톤
가시꽃	2013-08-22	11463000	1643	12	289	한국	한국	㈜인디스토리
가을 소나타	2012-03-22	12617000	1589	1	86	스웨덴	스웨덴	㈜영화사 백두대간
가을날의 재회	2007-09-04	5550000	986	1	24	기타	기타	
가을로	2006-10-26	3653445400	601733	255	18905	한국	한국	롯데쇼핑㈜롯데엔터테인먼트
가자! 장미여관으로 2 - 갈증	2014-04-10	14471000	3534	20	91	한국	한국	(주)에이블엔터테인먼트
가자! 장미여관으로 3 ? 방황	2014-10-08	6363000	1341	20	41	한국	한국	
가자, 장미여관으로	2013-08-14	29545500	8307	21	113	한국	한국	(주)팝파트너스
가장 따뜻한 색, 블루	2014-01-16	382166700	49633	53	1624	프랑스	프랑스	판씨네마㈜
가장 따뜻한 색, 블루	2014-01-16	5854000	726	1	3	프랑스	프랑스	판씨네마㈜
가족	2004-09-03	8051239500	1270581	104	25473	한국	한국	(주)튜브엔터테인먼트
가족상속괴담	2007-07-26	4263500	629	2	48	대만	대만	㈜스튜디오이쩜영
가족시네마	2012-11-08	19200000	2602	13	343	한국	한국	골든타이드픽처스(주)
가족의 나라	2013-03-07	40378000	5540	16	461	일본	일본	㈜미로비젼
가족의 탄생	2006-05-18	1222259500	200595	149	7890	한국	한국	롯데쇼핑㈜롯데엔터테인먼트
가족의 탄생	2006-05-18	3234000	609	6	59	한국	한국	롯데쇼핑㈜롯데엔터테인먼트
가필드	2004-08-19	1464283500	240021	76	5432	미국	미국	이십세기폭스필름코퍼레이션
가필드 2	2006-07-27	1045727100	185231	97	5015	미국	미국	이십세기폭스코리아(주)
가필드 펫 포스 3D	2011-01-27	385987000	36454	69	1672	미국	미국	(주)화앤담이엔티
가필드-마법의 샘물	2009-02-19	569182500	97145	95	4305	미국	미국,한국	㈜케이디미디어
각설탕	2006-08-10	7631785700	1265508	228	25009	한국	한국	씨제이엔터테인먼트(주)
간 큰 가족	2005-06-09	8212961893	1305518	247	31517	한국	한국	쇼박스㈜미디어플렉스
간기남	2012-04-11	9356404500	1246185	396	38155	한국	한국	쇼박스㈜미디어플렉스
간첩	2012-09-20	9316548500	1310895	576	41726	한국	한국	롯데쇼핑㈜롯데엔터테인먼트
간츠	2011-07-28	42892500	5802	18	372	일본	일본	(주)씨타마운틴픽쳐스
간츠: 퍼펙트 앤서	2011-08-11	34376500	4247	12	275	일본	일본	(주)씨타마운틴픽쳐스
갇힌 여인	2005-12-23	8330000	1266	1	172	프랑스	프랑스,벨기에	(주)이모션픽처스
갇힌 여인	2005-12-23	3172000	466	1	44	프랑스	프랑스,벨기에	(주)이모션픽처스
감기	2013-08-14	21774884000	3117859	806	55046	한국	한국	아이러브시네마
감시자들	2013-07-03	39380162179	5508017	949	100309	한국	한국	(주)넥스트엔터테인먼트월드(NEW)
감자심포니	2009-12-10	6063500	988	9	153	한국	한국	(주)이모션픽처스
갓센드	2004-09-03	217199000	33405	47	1645	미국	미국	(주)시네마서비스
갓파 쿠와 여름방학을	2008-06-26	213401500	36274	21	1025	일본	일본	㈜메가박스
강력 3반	2005-09-29	5053205500	828112	174	19950	한국	한국	롯데쇼핑㈜롯데엔터테인먼트
강령	2004-04-23	2745500	440	1	26	일본	일본	㈜미로비젼
강시: 리거모티스	2014-05-22	1635000	350	5	14	홍콩	홍콩	(주)팝엔터테인먼트
강적	2006-06-22	1956841000	318142	235	12049	한국	한국	쇼박스㈜미디어플렉스
강철대오:구국의 철가방	2012-10-25	1614867156	233211	366	15187	한국	한국	롯데쇼핑㈜롯데엔터테인먼트
강철의 연금술사 : 미로스의 성스러운 별	2012-01-26	24368000	3441	37	368	일본	일본	예지림엔터테인먼트
강철중: 공공의 적 1-1	2008-06-19	28638460100	4313101	707	74157	한국	한국	씨제이엔터테인먼트(주),(주)시네마서비스
강호	2004-10-22	78654000	12317	36	1584	홍콩	홍콩	쇼이스트(주)
개구리중사 케로로	2006-05-04	449656500	78679	37	2095	일본	일본	롯데쇼핑㈜롯데엔터테인먼트
개구쟁이 스머프	2011-08-11	7722519000	1027436	399	18225	미국	미국	한국소니픽쳐스릴리징브에나비스타영화㈜
개구쟁이 스머프 2	2013-08-01	5993979500	921788	478	15485	미국	미국	소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
개들의 전쟁	2012-11-22	171004571	23350	94	2829	한국	한국	롯데쇼핑㈜롯데엔터테인먼트
개똥이	2013-09-05	4914000	679	8	125	한국	한국	(주)씨타마운틴픽쳐스
개와 늑대 사이의 시간	2007-06-21	3145000	535	2	62	한국	한국	스폰지
갬빗	2013-11-28	95213128	14426	94	1227	미국	미국	(주)나이너스엔터테인먼트
갱스터 초치	2006-06-15	8710500	1766	3	28	영국	영국,남아프리카공화국	
거꾸로 된 파테마	2014-04-17	15357000	1957	35	259	일본	일본	에이원엔터테인먼트
거룩한 계보	2006-10-19	8759204600	1433696	372	32111	한국	한국	씨제이엔터테인먼트(주)
거룩한 소녀 마리아	2014-10-23	2128000	304	2	2	독일	독일	와이드 릴리즈(주)
거미숲	2004-09-03	412069500	63270	61	2368	한국	한국	영화사청어람(주)
거북이 달린다	2009-06-11	20618276000	3024666	432	69946	한국	한국	쇼박스㈜미디어플렉스
거북이도 난다	2005-04-22	86532000	13383	7	713	이란	이란	씨제이엔터테인먼트(주)
거북이도 난다	2005-04-22	1527000	348	1	21	이란	이란	씨제이엔터테인먼트(주)
거지의 오페라	2007-05-24	3390500	497	1	28	체코	체코	㈜영화사 백두대간
거짓말 섹스가 좋아2	2013-12-24	2900000	4470	5	28	한국	한국	(주)케이알씨지
거친 녀석들	2007-08-30	40520500	6102	19	786	미국	미국	한국소니픽쳐스릴리징브에나비스타영화㈜
거칠마루	2005-09-15	11599000	1886	7	299	한국	한국	(주)스폰지이엔티,스폰지,아트플러스시네마네트워크
거침없이 쏴라! 슛뎀업	2007-10-11	662430500	99477	149	8936	미국	미국	롯데쇼핑㈜롯데엔터테인먼트
건	2013-12-26	4922000	984	5	15	미국	미국	(주)미디어데이
건	2013-12-26	2775000	555	3	9	미국	미국	(주)미디어데이
건축학개론	2012-03-22	30222696000	4111068	593	106067	한국	한국	롯데쇼핑㈜롯데엔터테인먼트
걸리버 여행기	2011-01-27	16441365500	1762071	527	41181	미국	미국	이십세기폭스코리아(주)
걸스카우트	2008-06-05	1545587500	248813	265	13200	한국	한국	롯데쇼핑㈜롯데엔터테인먼트
걸어도 걸어도	2009-06-18	119196500	17082	8	820	일본	일본	(주)영화사 진진
걸프렌즈	2009-12-17	751115000	102618	245	7938	한국	한국	(주)넥스트엔터테인먼트월드(NEW)
걸프렌즈	2009-12-17	30577500	5778	5	100	한국	한국	(주)넥스트엔터테인먼트월드(NEW)
검우강호	2010-10-14	2242810500	312283	344	20571	홍콩	홍콩,중국,미국	(주)에스비에스콘텐츠허브
검은 땅의 소녀와	2007-11-15	4675000	708	3	69	한국	한국	(주)스폰지이엔티
검은 집	2007-06-21	8841047700	1321947	332	39830	한국	한국	씨제이엔터테인먼트(주)
겁나는 여친의 완벽한 비밀	2006-08-17	1592536000	251788	101	6881	미국	미국	이십세기폭스코리아(주)
게드전기 : 어스시의 전설	2006-08-10	1228276500	205490	143	6164	일본	일본	쇼박스㈜미디어플렉스
게스후	2005-09-02	791249500	123103	110	4585	미국	미국	이십세기폭스필름코퍼레이션
게이머	2009-10-01	2344712000	305927	252	16357	미국	미국	(주)시너지하우스 (시너지)
게이샤의 추억	2006-02-02	5337760000	849251	179	14464	미국	미국	소니픽쳐스릴리징코리아
겟 스마트	2008-06-19	1149843500	175390	192	9169	미국	미국	워너브러더스 (주)
겟 썸	2008-05-22	783743000	119124	165	8637	미국	미국	㈜스튜디오이쩜영
겨울나비	2011-07-07	3424500	521	7	137	한국	한국	(주)웃기씨네
겨울냄새	2011-08-18	5461000	682	4	93	한국	한국,캐나다, 오스트리아	크리에이티브컴즈(주)
겨울왕국	2014-01-16	82461504400	10296101	1010	157683	미국	미국	소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
결정적 한방	2011-12-07	439400000	60944	160	6266	한국	한국	(주)화앤담이엔티
결혼식 후에	2009-12-03	2513000	343	9	138	한국	한국	씨제이엔터테인먼트(주)
결혼전야	2013-11-21	8434175719	1212843	524	38819	한국	한국	씨너스엔터테인먼트(주)
결혼전야	2013-11-21	10162000	1993	5	26	한국	한국	씨너스엔터테인먼트(주)
결혼하고도 싱글로 남는법	2007-12-06	65710500	9381	6	378	프랑스	프랑스	예지림엔터테인먼트
경	2010-04-29	8564900	1212	4	134	한국	한국	KT&G 상상마당 영화사업팀 컴퍼니에스에스(주)
경계	2007-11-08	5036500	755	4	120	한국	한국,프랑스,몽고	(주)스폰지이엔티
경계도시 2	2010-03-18	66168300	9281	12	747	한국	한국	시네마달
경복	2013-07-11	4157200	547	1	58	한국	한국	KT&G 상상마당 영화사업팀 컴퍼니에스에스(주)
경의선	2007-05-10	26929000	3992	10	418	한국	한국	쇼박스㈜미디어플렉스
경주	2014-06-12	471903500	63299	318	5708	한국	한국	(주)인벤트스톤
경축! 우리사랑	2008-04-10	83330000	12876	31	1631	한국	한국	(주)스폰지이엔티,스폰지
계몽영화	2010-09-16	18111800	2417	10	428	한국	한국	㈜인디스토리
고 녀석 맛나겠다	2011-07-07	409747500	59640	124	1840	일본	일본	(주)화앤담이엔티
고,보이즈!:마지막 잎새 사수 프로젝트	2012-11-01	5092000	722	5	62	일본	일본	(주)씨타마운틴픽쳐스
고갈	2009-09-03	6539500	1011	4	134	한국	한국	곡사,서울독립영화제
고고 70	2008-10-03	3864267500	594742	369	26824	한국	한국	쇼박스㈜미디어플렉스
고고 70	2008-10-03	856000	403	1	20	한국	한국	쇼박스㈜미디어플렉스
고독이 몸부림칠 때	2004-03-19	68938500	10745	20	826	한국	한국	쇼박스㈜미디어플렉스,영화사풍년상회(주)
고래를 찾는 자전거	2011-09-22	56972000	9488	20	382	한국	한국	(주)필마픽쳐스
고래와 창녀	2006-07-13	5065000	1205	1	128	아르헨티나	아르헨티나,스페인	프리비젼엔터테인먼트
고령화 가족	2013-05-09	8169492153	1141222	583	37524	한국	한국	씨제이이앤엠(주)
고모라	2011-04-28	2132500	358	1	12	이탈리아	이탈리아	
고백	2011-03-31	339334000	43332	50	2547	일본	일본	㈜미로비젼
고死 : 피의 중간고사	2008-08-07	10300791000	1634192	270	42719	한국	한국	에스케이텔레콤(주)
고死 두 번째 이야기: 교생실습	2010-07-28	5802318000	857038	313	23307	한국	한국	(주)넥스트엔터테인먼트월드(NEW)
고스톱 살인	2014-03-20	5479500	820	7	105	한국	한국	(주)랠리버튼
고스트 라이더	2007-04-12	2302169000	355116	263	18640	미국	미국	한국소니픽쳐스릴리징브에나비스타영화㈜
고스트 라이더 : 복수의 화신	2012-02-16	902998500	117265	269	9068	미국	미국	롯데쇼핑㈜롯데엔터테인먼트
고스트 메신저 극장판	2014-05-22	184194000	23802	81	1210	한국	한국	에이원엔터테인먼트
고스트 킬러: 모니카	2014-03-27	3280000	634	5	15	미국	미국	주식회사 풍경소리
고스트: 보이지 않는 사랑	2010-11-25	49540500	6624	31	1028	일본	일본,한국	필라멘트픽쳐스
고야의 유령	2008-04-03	30117500	4500	10	423	스페인	스페인	(주)부귀영화
고양이 춤	2011-11-17	86819800	11755	26	962	한국	한국	㈜인디스토리
고양이 춤	2011-11-17	5238500	716	3	75	한국	한국	㈜인디스토리
고양이: 죽음을 보는 두 개의 눈	2011-07-07	4780502000	672314	304	18972	한국	한국	(주)넥스트엔터테인먼트월드(NEW)
고양이를 빌려드립니다	2012-12-13	72488800	9351	14	359	일본	일본	(주)영화사 조제
고양이를 빌려드립니다	2012-12-13	43026700	5648	13	357	일본	일본	(주)영화사 조제
고양이의 보은	2003-08-08	1446000	360	2	10	일본	일본	씨제이엔터테인먼트(주)
고지전	2011-07-20	21968557600	2945137	585	53738	한국	한국	쇼박스㈜미디어플렉스
고질라	2014-05-15	5972847963	709734	610	25335	미국	미국	워너브러더스 (주)
고티카	2004-04-02	152738500	23473	16	795	미국	미국	한국소니픽쳐스릴리징브에나비스타영화㈜
고하토	2004-04-23	10632500	1613	9	242	일본	일본	(주)오시네마
곤충왕국 3D	2014-08-14	84825300	11263	39	446	한국	한국	골든타이드픽처스(주)
골!	2005-11-04	69160000	10926	48	1286	미국	미국	브에나비스타인터내셔널코리아
골든 슬럼버	2010-08-26	476378500	65167	138	4638	일본	일본	씨제이엔터테인먼트(주)
골든 에이지	2007-11-22	1094677500	173887	186	10103	영국	영국	유니버설픽쳐스인터내셔널 코리아(유)
곰이 되고 싶어요	2004-01-30	21265500	3353	6	132	덴마크	덴마크	필름뱅크(주)
공각기동대 S.A.C - Solid State Society	2013-05-23	11777000	1036	6	129	일본	일본	㈜T-JOY,씨너스엔터테인먼트(주)
공각기동대 어라이즈 보더 1: 고스트 페인	2013-10-24	3613000	524	8	88	일본	일본	에이원엔터테인먼트
공각기동대 어라이즈 보더: 2 고스트 위스퍼스	2013-12-12	7424500	993	20	148	일본	일본	에이원엔터테인먼트
공공의 적 2	2005-01-27	20091127000	3134421	299	40642	한국	한국	(주)시네마서비스
공기인형	2010-04-08	96511300	12514	15	812	일본	일본	씨제이엔터테인먼트(주)
공룡 티렉스	2006-04-13	41153000	6207	1	159	캐나다	캐나다	씨제이 씨지브이(CJ CGV)(주)
공룡 티렉스	2006-04-13	5706000	1321	1	90	캐나다	캐나다	씨제이 씨지브이(CJ CGV)(주)
공모자들	2012-08-29	12240964500	1646142	496	44959	한국	한국	씨너스엔터테인먼트(주),타임스토리그룹(주)
공범	2013-10-24	12333110882	1766285	611	51425	한국	한국	씨제이이앤엠(주)
공자 춘추전국시대	2010-02-11	2774370000	371607	236	15346	중국	중국	(주)시너지하우스 (시너지)
