"","movie_nm","score","reg_date","contents"
"35","숨바꼭질","8.0","2013.08.19","치밀한 각본과 손현주의 연기력이 돋보인 잘 만든 공포물 단 지나친 괴력의 문정희가 개연성을 떨어뜨린다 "
"36","추격자","10.0","2013.08.19","단연코 최고 "
"37","여친남친","9.0","2013.08.19","동성애를 인정해야 "
"38","설국열차","7.0","2013.08.19","기대가 많았으나 기대에는 못 미치는 영화였습니다 점 만점에 정도 되는 영화랄까요 "
"39","더 테러 라이브","10.0","2013.08.19","하정우의 매력이 돋보였던 영화였습니다 여름날 좋은 추억으로 선택한 영화였기에 만족 그리고 또 만족 "
"40","언어의 정원","7.0","2013.08.19","그래픽은 끝내줌 스토리와 개연성이 많이 아쉬움 너무 짧은 시간에 다 뭉퉁그려서 보는 느낌 좀 허무함 "
"41","멋진 악몽","7.0","2013.08.19","그냥 볼만하다 근데 좀 길고 약간 지루한 느낌 "
"42","감기","9.0","2013.08.19","재밌음 전시군작전지휘권이 미국에 있다는것을 이토록 확실하게 보여주는 대중상업영화가 있었던가 시나리오작가 그리고 감독 뚝심있다 "
"43","감시자들","8.0","2013.08.19","스릴 있었고 나름 재미있는 영화였음정우성의 악연 연기도 돋보였고 특히나 설경구는 공공의적 시리즈에 보던 이미지와는 많이 다른 이지로 와 닿았음 한효주씨도 좋았구요 "
"44","숨바꼭질","9.0","2013.08.19","나름 괜찮았어요 계속 궁금하게 만들고 마지막에 반전도 "
"45","더 테러 라이브","6.0","2013.08.19","기대도컸던 만큼 실망도 큰 영화였던것 같았습니다 물론 개인적으로 호불호는 갈리겠지요후반부부터 억지로 짜 맞춘다는 느낌이 강했습니다 결말도 뭐 이상하게 끝나서 실망감이 좀 남는 영화입니다 "
"46","감기","6.0","2013.08.19","개연성부족 그리고 영화 초반 주인공의 민폐행동만 없었어도추가로 미르야라는 대사가 조금만 없었어도 좋았을텐데ㅋㅋ 미르라는 이름은 콕 박혔네요 "
"47","설국열차","8.0","2013.08.19","너무 많은 것을 다룰려고 해서 약간 버거워 보이는 감은 있지만 여운 있는 결말은 오히려 좋았다우리의 삶을 기차로 묘사한 천재 감독 봉준호 디렉터 봉의 다음 영화도 기대된다 "
"48","감기","0.0","2013.08.19","돈아깝고 시간아까워서 중간에 여자친구랑 그냥 나옴수원역 CGV 관 영화 전개 자체가 지루함 스토리는 뻔히 정해져있고 결말도 다 아는 사실인데 너무 억지웃음 유발하고 전개 자체가 너무지루함 근데 알바들푼건지 정말 알바성 댓글 많네요 "
"49","설국열차","9.0","2013.08.19","이거 보고 재미없다고 평하는 사람들은 왜 무지하다고 하는지 이해가 갔음재미를 찾으려면 정통액션영화나 찾아보시길 "
"50","숨바꼭질","8.0","2013.08.19","배우들의 연기가 소름 돋았어요문정희 짱ㅎㅎ "
"51","설국열차","5.0","2013.08.19","끝이 너무 허무하다 "
"52","숨바꼭질","6.0","2013.08.19","토건족과 기득권층그리고 권력자의 야합으로 생성된 부동산고가 정책의 폐해로 인한 무주택 서민들의 애환과 지난 대선 국정원 댓글 사건에서 비롯된 나락으로 떨어져버린 경찰에 대한 불신을 그린 사회 풍자영화 "
"53","설국열차","7.0","2013.08.19","전혀 새로울거 없느 그저 그런 흔한 외국영화 딱 한줄로 평가 내렸다 "
"54","숨바꼭질","3.0","2013.08.19","재미는 있는데 내용도 없고 감동도 없고 말도 안되고 도대체 뭔 영화인지 개똥도 아닌 영화다 "
"55","숨바꼭질","10.0","2013.08.19","재미짐 여름영화로 제격 "
"56","감기","9.0","2013.08.19","매우 괜찮은 영화였습니다함께 보았던 동료들도 모두 재미있게 보았다고 "
"57","숨바꼭질","4.0","2013.08.19","도대체 왜 집에 숨어사느데요 이유라도 설명해주던가 그저 그런 공포물 헛웃음만 나옴연기느 아역들이 제일 잘한거 같네요 성인 연기자들은 다 기대이하였음 그리고 손현주의 트라우마와 결벽증은 왜죠 "
"58","숨바꼭질","10.0","2013.08.19","한마디로 대박 "
"59","터보","9.0","2013.08.19","살 아들이 아주 재밌다고 하네요 저도 재밌게 봤구요 "
"60","숨바꼭질","10.0","2013.08.19","ㅎㄷㄷ정말간만에눈가리고본영화라는 "
"61","지.아이.조 2","10.0","2013.08.19","정말 잘본겁니다 지아이조 은 못봤는데 시즌보고나니깐 시즌도이해가ㅋㅋ "
"62","숨바꼭질","0.0","2013.08.19","쓰레바꼭질 완전 허접 "
"63","감시자들","7.0","2013.08.19","초반 경찰차 추격신에서 다른 일반차량의 티 너무나는 배치가 이영화의 티나는 짜임새를 대변해준는듯 설경구의 평이함대신 정우성의 악역이 돗보여서 다행인 영화 "
"64","줄리아의 눈","9.0","2013.08.19","좋은영화네요 긴장감도있고 스릴있습니다 스토리도 탄탄합니다 범행동기에대한 후반 개연성이 약하다고들하시는데 영화 잘보시면 범인이 왜 그리되는지 충분히 공감가는 가정사가 나옵니다 다만 그내용을 범인 관점에서 풀지않았기때문에 그래보일수도있죠 여주인공도 상당히 매력적 제대로된 등신 금발 주인공 "
"65","에픽:숲속의 전설","7.0","2013.08.19","뻔했지만 은근히 괜찮게 봤네요 하지만 아이들이 더 좋아할 것같아요 "
"66","감기","6.0","2013.08.19","소재에 비해 지루한감이 좀 있는듯 했어요답답한 캐릭터들이 왜이렇게 많은지 보는내내 답답했음자식을 살리고자 하는 엄마의 마음 죽음의 공포앞에 살고자 발악하는 사람들의 심리묘사는 공감되었음 반면 죽음앞에서도 한없이 정의롭기만 한 구조대원 캐릭터는 좀 식상하네요 박민하양의 연기는 기대이상이네요 "
"67","설국열차","6.0","2013.08.19","그저그런 기대없이보면 그냥 무난한 영화반전이약하다는 느낌과함께 "
"68","감기","9.0","2013.08.19","잘 만든 한국 영화 "
"69","스카페이스","9.0","2013.08.19","결핍의 욕망이 만든 괴물의 처절한 인생사 "
"70","숨바꼭질","2.0","2013.08.19"," 어릴때 잠자기전 머리맡에서 할머니나 어머니가 해주시던 무서운 이야기 수준의 영화라는 느낌 영화가 다큐는 아니지만 사실감이 떨어지는 스토리 중반이후 헛웃음을 참을 수 없었음 외출중에 아이들만있는 아파트 현관앞에 괴한이 있음을 확인했을때 경찰에 신고하기 보다 집으로 가기 바쁜 주인공 "
"71","감기","6.0","2013.08.19","구조대원이 자신이 구조한 여성만 졸졸 따라다니다 특히 마지막 시체더미 속에서 애 찾는거등 현실성 없는 스토리 전개에 실망 "
"72","나의 PS 파트너","10.0","2013.08.19","한 번 이상 봐도 재밌음 "
"73","숨바꼭질","10.0","2013.08.19","이렇게 헬멧으로 공포를 만들 수 있구나 귀신분장보다 더 무서웠던ㅠㅠ 내용이 신선하고 새로운 공포의 장을 연 숨바꼭질 반전은 이런거다 보여준 영화 "
"74","월-E","9.0","2013.08.19","지구의 황폐화가 만들어낸 씁쓸하면서도 감동적인 스토리 마음 한켠이 따뜻해지는 영화다 "
"75","감기","8.0","2013.08.19","수작이라 말할 순 없지만 전반적으로 늘어지지않는 팽팽함과 빠른전개 좋았어요 헐리웃 작품들보다 오히려 좋은듯 "
"76","더 테러 라이브","10.0","2013.08.19","하정우가 아니였으면 망했을 영화 "
"77","케빈에 대하여","7.0","2013.08.19","난 아직도 이 영화의 마지막 대사가 이해가 안된다 왜그랬니 알고 있을줄 알았다라고 대답한 아들 그리고 지금은 모르겠다라고 시간이 다 되어 포옹하면서 끝나는 장면슬프고도 어린아이가 엄마에게 관심받고싶은걸 가족을 죽이고 친구를 죽여서 엄마의 사랑을 확인하고싶었던 것일까 너무 복잡한 영화다 "
"78","숨바꼭질","8.0","2013.08.19","중간 중간 억지설정들이 있어 스토리 흐름이 거친 면이 있긴 하지만 스릴러만 놓고 본다면 볼만한 영화네요 볼만한 영화입니다 "
"79","숨바꼭질","5.0","2013.08.19","스토리가 너무 허술함 연기나 반전은 인정보는내내 짜증남 "
"80","감기","8.0","2013.08.19","전작권의 중요성대통령이란 위치의 중요성을 생각하게 하는 영화대통령의 자리란 어떤것이며 어떤 마음가짐이어야 하는가에 대해 깊이 생각한 영화사건 후반부를 위한 전반부의 다양한 복선들과 우연들은 영화라는것을 감안하고 보면재미있게 볼 수어요미션임파서블은 현실성있어서 재밌게 본거 아니니 "
"81","숨바꼭질","9.0","2013.08.19","일단 설국보다 잼나서 추천들어간다 "
"82","설국열차","0.0","2013.08.19","알바가 득실하는것을 느끼며 평점다운용으로 쓴다 "
