"","movie_nm","score","reg_date","contents"
"1","쥬만지","10.0","2013.08.07","어릴적 비디오 보는걸 굉장히 좋아했는데 집에 비디오 종류도 별로 없어서 삼국지 아니면 쥬만지만 봤는데 수십번은 족히 본듯 ㅎㅎ "
"2","설국열차","10.0","2013.08.07","실망했다는 평때문에 사실 기대안하고 봤는데 생각보다 깊게 빠져 들었다 흥미위주의 할리우드와 달리 감독 철학이 배어 있는 영화라 만점을 아래 어떤 분은 고도를 기다리며라고 그러시는데 베케트의 엔드게임이 영화 내내 생각남 "
"3","에픽:숲속의 전설","10.0","2013.08.07","시간 가는 즐 모르고 몰입했어요재미있어요 강추 "
"4","창피해","0.0","2013.08.07","김효진 노출 기대하고 봤는디 없네유 ㅠㅠ 내용은 쓰레기작이에유 "
"5","천하장사 마돈나","4.0","2013.08.07","잘 만들어진 영화였어요소재면에서는 크게 마음에 와닿지않았지만 주인공의 연기에 끝까지 눈을 뗄수가 없었어요그외에도 초난강씨의 연기 재미있게 봤어요 "
"6","설국열차","2.0","2013.08.07","영화가 끝난후 침울한 침묵 누가 말이라도 걸면 맞을것같은 분위기 이게 광고의 위력 돈아깝다 "
"7","포화속으로","6.0","2013.08.07","권상우와 탑의 연기에 시간 가는줄 모르고 봤어요마지막 전쟁신이 가장 기억에 남네요 "
"8","설국열차","0.0","2013.08.07"," 영화 괴물도 일본 애니메이션 표절한거 알고 있습니다네요 이제야 거품이 꺼진듯 봉준호의 거품 "
"9","설국열차","7.0","2013.08.07","기차 안에서 새로운 인류의 역사를 다시 쓰던 그들 그들 캐릭터의 이야기는 많이 부족하지 않았나 싶다 특히 주인공이 씬정도에서 난청감 같은것을 느끼며 사운드가 죽을 때가 있었는데 일반적으로 긴장감을 높여주던 그 기법이 이 영화에서는 불필요하게 자주쓰이며 속도감을 더욱 떨어뜨렸따 "
"10","울지마 톤즈","10.0","2013.08.07"," "
"11","영웅 : 샐러멘더의 비밀","10.0","2013.08.07","의리 평점 만점의 신화로 모든 국내 네티즌들이 감상할수있기를 "
"12","레드: 더 레전드","7.0","2013.08.07","이병헌 간지 나머지 노땅들은 저리가라 "
"13","설국열차","4.0","2013.08.07","초중반까진 기차칸이 주는 요소에 집중하게 된다 그러나 어느순간부터 풀어진 벨트마냥 긴장감이 현저히 하락 또 하락 결말에서 최종 허무함을 확인하게된다 "
"14","설국열차","10.0","2013.08.07","조연들의 감칠연기도 좋았고 인간이 최악의 상황에서 보여질수 상황등을 잘 표현하였으며꼬리칸에 사람들이 마치 사무엘베케드의 고도를기다리며를 보는듯그리고 다가올 미래에 대해 희망을 선사하는 연출의도도 good "
"15","설국열차","10.0","2013.08.07","현사회에대한 메세지 "
"16","언어의 정원","3.0","2013.08.07","그니까 애하고 그렇고 그런 사이로 만들기 위해서 그럴싸하게 애들 정서에 맛을 내면서 만든 걸 지금 다들 열광하는 건가 그냥 하이틴 로맨스라는 삼류도 안되는 소설이나 여중 여고생들한테나 팔리는 되도 안되는 시랍시고 파는 그런 글들일 뿐이다 정신차려라 "
"17","더 테러 라이브","4.0","2013.08.07","하정우는 앵커 역할이 어색했음 범인목소리가 너무 찌질했다 스토리도 뻔하고 긴박감은 과장되어 보기 불편했다 "
"18","에픽:숲속의 전설","10.0","2013.08.07","너무 재밌었어요아름다운 숲속과 여왕의모습이 잊혀지질 않아요 "
"19","설국열차","10.0","2013.08.07","재미는 점 정도전체적 맥락은 점영화 관객수가 왜 많은지 보시면 알게 될겁니다좋은 영화네요 "
"20","설국열차","9.0","2013.08.07","영화의 내용도 좋았고 배우들의 연기는 흠 잡을 곳 없이 완벽했습니다그래픽 영상은 중간급이었으며 거슬리는 정도는 아니었습니다다만 중간에 주인공의 감정처리 신에서는 상황과 매끄럽게 연결이 되지 않아뭘 생각하고 있는 건지 추리하게 되더군요결말이 조금 아쉽긴 했습니다만 추천해드립니다 "
"21","더 테러 라이브","1.0","2013.08.07","재미있다고 한 사람들사과하세요 ㅜㅜ "
"22","더 테러 라이브","9.0","2013.08.07","시원하게 임팩트 있는 영화 잼있었어요 "
"23","설국열차","10.0","2013.08.07","스토리가 무겁고 피하고 싶지만 꼭 봐야만 하는 시사성 강한 영화 적절히 완급조절해서 풀었기 때문에 전체적으로 볼때에 완성도 높았던 영화 "
"24","맨 오브 스틸","9.0","2013.08.07","관객 만에서 막을 내려서 못 보신 분들이 많을듯 한데요 꽤 볼만합니다 진짜 블록 버스터의 끝판왕 이라고 할수 있습니다 그냥 편하게 SF액션영화 라고 생각하며보니까 내용도 나쁘지 않게 느껴졌고 초반의 감성적 부분도 오히려 괜찮았네요 주인공도 멋있고 악역장군도 미워 할수가 없네요 꼭보세요 "
"25","설국열차","9.0","2013.08.07","넘 조았네요 "
"26","동사서독","10.0","2013.08.07","무조건 강추 "
"27","더 테러 라이브","9.0","2013.08.07","하정우때문에 기대하지 않고 봤던 영화였지만 잼났다아버지의 아들로써 세상에 하소연하고 싶은 말말말하지만 그 말은 매스컴을 통해서라도 하소연했지만 묻혀지고 말았다 우린 아마도 이 아들이지 싶다 세상에 외치고 싶고 듣고 싶고 소원이 이뤄지길 기대하는 우리의 마음즐겁게 봤다 "
"28","설국열차","10.0","2013.08.07","역시 봉준호 감독이네요 "
"29","쿵후팬더: 영웅의 탄생","0.0","2013.08.07","캐릭터 왜이래 "
"30","왕의 남자","10.0","2013.08.07","다시 봐도 명작 "
"31","설국열차","9.0","2013.08.07","무겁지만 살아가는 인생사를 돌아보게끔 하는 영화였다 엔딩부분이 급히 마무리하려고 한게 아쉬움이 남지만 전체적인 맥락에 저해를 주진 않았다 시간 넘게 집중해서 볼 수 있게한 영화였다 한번쯤은 꼭 볼수있기를 "
"32","에픽:숲속의 전설","10.0","2013.08.07","정말 재밌었고 보는 내내 신났어요 "
"33","뜨거운 것이 좋아","10.0","2013.08.07","번재소희가 좋았어요 "
"34","설국열차","10.0","2013.08.07","원래 점 주려다가 점 테러하는 인간들 때문에 점 더 얹어서 만점 드립니다 "
"35","일대종사","6.0","2013.08.07","정말 재미없음 평점 네이버나 다음이나 쓸데 없이 높고송혜교 주연인데 몇컷 안나옴 보다 졸다 했음 "
"36","더 테러 라이브","7.0","2013.08.07","하정우라서 봤다너무 기대하고 봤나 시나리오가 탄탄하다고 했으나그닥 "
"37","더 테러 라이브","10.0","2013.08.07","간만에 잼난 한국영화 굿굿 "
"38","더 테러 라이브","10.0","2013.08.07","간만에 잼난 한국영화 굿굿 "
"39","설국열차","10.0","2013.08.07","댁박은 이럴때 쓰는말이야 짱 완전 잼나 "
"40","에픽:숲속의 전설","10.0","2013.08.07","ㅋㅋ "
"41","빈집","9.0","2013.08.07","나도 모르게 집중해서 봣음 몰입도 개쩜 "
"42","더 테러 라이브","9.0","2013.08.07","정말 분 러닝타임이 한 분만에 끝난 것 처럼 느껴졌어요 "
"43","애프터 어스","1.0","2013.08.07","재미없다 내용이 영 "
"44","론리 플레이스 투 다이","6.0","2013.08.07","음그냥ㅇㅇ "
"45","설국열차","8.0","2013.08.07","잘만들었다 볼만했다그저그런 할리우드영화보다 더 좋다 "
"46","은밀하게 위대하게","10.0","2013.08.07","완전 재미있어 수현이 오빠 바보연기 완전잘함 현우오빠 완정 멋져♡♡ "
"47","더 테러 라이브","10.0","2013.08.07","초반부터 리얼리티 극적 긴장감 최고예요 지루할 틈이 없네요 정말 최고인 영화입니다 "
"48","더 테러 라이브","9.0","2013.08.07","잼나게 봣어요 "
"49","설국열차","10.0","2013.08.07","역시 봉준호 "
"50","더 테러 라이브","0.0","2013.08.07","재미 드럽게 없고 ㅈㄹ 하정우만 띄우주는 영화 나는 갠적으로 설국이 훨 낫다고 생각함 나는 더 테러 비추 "
"51","더 테러 라이브","10.0","2013.08.07","ㅛㅕㅛ "
"52","퍼시픽 림","7.0","2013.08.07","전투장면 좋고 마지막에 남자가 죽은줄알았는데 사네이것때문에 플라스줌아뭏든 그래픽 아주좋고 마지막에 원자탄터지는 설정은 너무 아쉬움 게이트는 너무쉽게 다통과바닥에 괴물들 멍한표정 ㅋㅋㅋ 폭탄 펑 ㅋㅋㅋㅋㅋ "
"53","설국열차","10.0","2013.08.07","영화는 영화일뿐인데 걍 즐기면돼는데 개인차에 따라 견해가 다르겟지만 잘만든 영화다 "
"54","설국열차","9.0","2013.08.07","그의 상상력이 이정도 일줄이야 "
"55","설국열차","10.0","2013.08.07","설국열차라는 영화는 지금까지의 한국 영화라는 다르게 돈을 크게 들여 스릴감이 있고 웅장함을 나타내는 요소들이 많은 재미있는 영화이다 마지막이 조금 아쉽긴하지만 그래도 나는 재밌게 봤다 "
"56","군사통제구역 팔이공지대","10.0","2013.08.07","좋으네요 "
"57","설국열차","10.0","2013.08.07","보이는 만큼만 볼수 있는 영화 "
"58","미스터 고","8.0","2013.08.07","시나리오가 너무 부족했다 가볍게 웃기에는 좋지만 보고나면 너무 아쉬운영화그래도 엔딩은 감동적이고 좋았다 "
"59","설국열차","0.0","2013.08.07","외국영화를 짬뽕한듯한 시나리오와중간에 이상한나라의앨리스같은 분위기어쩔거야너무기대를 많이했나 명이서 봤는데명모두실망했음 "
"60","우드 유 래더","5.0","2013.08.07","식상하네 "
"61","설국열차","6.0","2013.08.07","그닥 긴장감도 없고 특히나 결말은 넘 실망스럽고 제작사 투자비 뽑을수 있을려나 이 영화 만들려고 헐리우드까지 갔나 ㅠ "
"62","설국열차","9.0","2013.08.07","기대만큼이다 하지만 너무 가슴이 먹먹하다 "
"63","설국열차","0.0","2013.08.07","어이없는 결말 "
"64","설국열차","10.0","2013.08.07","봉준호 감독의 전작들과 비교시 떨어지지는 않으나 곳곳에 빈틈들이 조금씩 있더라 그거야 잛은 촬영기간에 첫 해외권 영화고 하니 어느정도 이해는 된다 예를들어 마차만 타던 시대에 자동차가 새로 나오면 당연히 초기엔 어설프겠지만 그걸 퇴보라고 할순 없는것처럼 새로운 시도이기에 가치가 있다고 본다 "
"65","설국열차","6.0","2013.08.07","영상은 좋았으나 스토리 약간 부실결말도 약간 서운함그냥시간떼우기 영화 "
"66","설국열차","10.0","2013.08.07","역시멋진 작품 한번 또 보고 싶네요 "
"67","더 헌팅 인 코네티컷 2: 고스트 오브 조지아","5.0","2013.08.07"," 실화를 바탕으로 이루어졌다지만끝까지 긴장감을 주려고 노력한 흔적은 보이지만보는내내 지루했다 "
"68","환타즘 2","6.0","2013.08.07","여전한 톨맨과 쇠공의 위력 "
"69","설국열차","5.0","2013.08.07","이런걸 앞뒤도 안맞는 수준낮은걸 가르키는것 같아서 실망 "
"70","언어의 정원","9.0","2013.08.07","가랑비에 옷 젖듯이 주인공들은 사랑에 나는 애니에 빠졌다 감독이 말하는 사랑은 좀 아리다 영상은 맑다 못해 찬란하고 "
"71","더 테러 라이브","10.0","2013.08.07","영화보면서 다른생각이 들기도하는데 오직 영화에 관련된 생각하면서 보게되는 영화였다 마지막에 결말이 최고였다 "
"72","설국열차","5.0","2013.08.07","기대에 못미친 영화 지루한 영화다 "
"73","스티브 잡스: 더 로스트 인터뷰","9.0","2013.08.07","미래를 예견한 잡스라 역시 천재는 다른가봅니다 "
"74","감시자들","8.0","2013.08.07","한효주가 참 예뻤음 정우성 캐릭터에 대한 설득력있는 설명도 없이 설경구의 박하사탕 재현을 떠올리며 어줍잖게 끝난건아쉽지만 속도감있는 전개 굿 "
"75","더 테러 라이브","9.0","2013.08.07","몰입도 한순간도 긴장을 늦출수가 없었음 역시 하정우 "
"76","감기","10.0","2013.08.07","재난 영화들이 그러하듯 뻔한 느낌이 있긴 하지만 그래도 스케일 있고 현실감 있게 영화 잘 만든 것 같다 "
"77","설국열차","10.0","2013.08.07","자본주의와 인간의 본성에 대한 이야기인류의 역사까지 버무린 봉테일의 사회생물학 우화봉준호 말대로 그의 초기작의 대미를장식하는 영화 "
"78","더 테러 라이브","8.0","2013.08.07","처음부터끝까지 하정우와 CG만 있는 느낌하정우 원맨쇼와 함께 빠른 속도로 진행되던 영화도 종료폭파장면 등이 볼만했음 방송계쪽의 비열한 삶의 모습들과 약한자의 서러움을 느낌 "
"79","설국열차","8.0","2013.08.07","댓글만 보고 영화 안봤더라면 후회했을거 같아요 "
"80","설국열차","8.0","2013.08.07","일년전부터기대하면서기다렸던영화막상보면서느낀점은강렬한 오락성은없고 끝나고나서묘한느낌과의문이남는영화인듯<U+11A2> 영화를잘만들었다는생각도들지만엔딩자막올라갈때사람들의표정<U+11A2>뭐지라는듯한ㅋ "
"81","퍼시픽 림","5.0","2013.08.07","D로 봤는데도 그냥 그런 영화였음 "
"82","퍼시픽 림","3.0","2013.08.07","디워 미국판 "
"83","설국열차","10.0","2013.08.07","태양을 중심에 두고 시속 km의 속도로 년마다 한 바퀴씩 도는 지구에 갇힌 인류를 위한 희망과 구원의 메세지 대단한 상상력이고 가슴 띄는 메세지였습니다 봉준호 화이팅 다만 외국영화에 송강호가 출연 한 것 같더라는 "
"84","라이프 오브 파이","1.0","2013.08.07","갑의 횡포를 부린 이안 당신의 또다른 이름은 양아치 "
"85","군사통제구역 팔이공지대","0.0","2013.08.07","수색대 출신으로 말도 안되는 영화장비가 허접 "
"86","개구쟁이 스머프 2","8.0","2013.08.07","볼만은하다 "
"87","카게무샤","1.0","2013.08.07","찐따들의 외침 "
"88","더 울버린","1.0","2013.08.07","이건 뭐세용인가 "
"89","미스터 고","10.0","2013.08.07","우리딸이랑 보았는데 넘 재밌어요 "
"90","라이프 오브 파이","0.0","2013.08.07","찌질한 영화 "
"91","퍼시픽 림","0.0","2013.08.07","걍 쓰레기 "
"92","설국열차","8.0","2013.08.07","재밌었다 나는 "
"93","설국열차","10.0","2013.08.07","호불호가 분명한 영화가 점유률이 이상을 찍는다는건 볼만하다는 거다 알바들아 이젠 고만 쳐 내리고 가서 영화나 좀 보자 "
"94","로망스","10.0","2013.08.07","이런 슬픈감정 오랜만 "
"95","한반도","10.0","2013.08.07","점 만점 "
"96","설국열차","10.0","2013.08.07","제가봤던 한국영화중 가히 최고의 영화로 꼽을만큼 대단한영화라 생각합니다 조폭영화와 억지감동 영화에 신물이 다 나있던 제게 설국열차의 메세지와 철학은 쓴 통찰과 감동을줬습니다 현실의 세상은 기차안보다 더 냉혹합니다 그래서 안주와균형을 따르느냐 다른 곳으로부터 희망을 찾느냐에거기에 따라 인생도 "
"97","우리 만난 적 있나요","10.0","2013.08.07","재밌구만ㅋ "
"98","악마는 프라다를 입는다","10.0","2013.08.07","현대 사회의 모습을 여과없이 잘 보여주고 있다 불가능이 없는 최상층의 숨가쁜 일상을 감각적으로 잘 승화시겼다 강인한 보스 메릴스트립과 눈이 아름다운 에밀리블런트의 동양적인 매력이 잘 대비된다 수십번 봐도 늘 새로운 영화다 "
"99","은밀하게 위대하게","0.0","2013.08.07","영화 정말 애매하다 이건 영화도 아니고 무슨 동영상도 아니고 무슨 짜집기 해놓은것인지 정말 마지막 끝까지 산으로 산으로 정말 초초초초초초 난감하다 흐미 "
"100","설국열차","0.0","2013.08.07","설국열차 제작비는 엄청나게 쏟아부은것같은데 완성면에서는 많이 부족한것같다네트즌 평점 이면 박스오피스 상위개 영화중에서 가장낮은 평점에 불과하다완성도가 있는 영화가 보통 이상 정도 평점을 받는데 이 영화는 밖에 되지않는다흥행성공의 원인 개봉시기 우리나라 사람들의 정서 대기업횡포때문 "
"101","사랑을 놓치다","10.0","2013.08.07","업그레이드된 한국 멜로 영화의 수작 잔잔하지만 지루하지도 심심하지도 않은 재밌고 가슴도 싸하고 감동도 되는 요즘 보기드문 영화 "
"102","해가 서쪽에서 뜬다면","10.0","2013.08.07","역시 임창용영화는 실망시키지 않는다 ㅋㅋ "
"103","우리 만난 적 있나요","10.0","2013.08.07","가슴이 아리다그리고 여주인공 매력적 "
"104","설국열차","9.0","2013.08.07","아무런 정보없이 보고나와서는 잠시 멍 전하고자 하는 의도는 알겠으나 뭔가 부족하다는 느낌이 들었어요 돌아와서 인터넷으로 평론가의 글을 보고 다시 생각해보니 엄청난 영화구나 라는 생각이 드네요 다시 한 번 제대로 보고싶어지네요 "
"105","설국열차","8.0","2013.08.07","내 아이들에게 들려주고 싶은 자본주의 세상의 본모습을 상징적으로 잘 표현한 영화 "
"106","8월의 크리스마스","10.0","2013.08.07","장르불문 울나라 최고의 영화 "
"107","더 테러 라이브","8.0","2013.08.07","설국열차 더 테러 라이브 둘다 봤는데요더 테러 라이브에 한표 더 "
"108","사랑을 놓치다","10.0","2013.08.07","아주 슬픈것도 아니것이 아주 애절한것도 아닌것이 그냥 가슴이 팍 "
"109","아는 여자","10.0","2013.08.07","정말 묘한 매력이 있는 영화 "
"110","우리 만난 적 있나요","10.0","2013.08.07","볼만함 "
"111","극장판 메이저: 우정의 강속구","10.0","2013.08.07","역시메이저는 너무재있는거같앙 ㅎㅎ기나왔으면좋겠는데이제안나오겠징 ㅜㅜ "
"112","은밀하게 위대하게","0.0","2013.08.07","쓰레기 영화 "
"113","더 테러 라이브","8.0","2013.08.07","처음엔 아무생각없이 더운 여름밤을 보내기 위해 보러갔는데 초중반 이후 생각보다 휴지기 없는 쫀쫀한 시나리오에 하정우 연기가 볼만함 기대보다 만족하고 나름 결말도 신선했음 "
"114","은밀하게 위대하게","10.0","2013.08.07","난시간가는 줄 모르고 엄청 재밌게 봤어요 웹툰도 봤지만 괜찮았구요 재밌어서 한번 더 볼까 생각도 했는데 "
"115","숨바꼭질","10.0","2013.08.07","숨바꼭질 시사회 재밌게 잘 보고 왔어요 배우분들의 명품연기 최고였고 조마조마 스릴 넘치는 스토리로 올여름 더위를 한방에 시원하게 날려버리고 왔네요 놓치지 마시고 꼭 보세요 추천합니다 "
"116","감시자들","9.0","2013.08.07","정우성이 그렇게 멋있나 ㅋ 속편 만들려는 장치가 넘 빤히 들여다보인다 하지만 첸형 임달화 볼 수 있어 좋았으니 "
"117","설국열차","9.0","2013.08.07","잘만든 영화 "
"118","설국열차","10.0","2013.08.07","완전 잘만든 영화인것같아요 best영화 "
"119","웜 바디스","7.0","2013.08.07","좀비영화치곤 좀 유치하고 어설프네요 그래도 중간 중간에 깨알같은 웃음 재밌었습니다만은 다만 좀 스토리 전개가 탄탄하지 못했던 점이 아쉬웠고요 여배우는 트와일라잇 크리스틴 스튜어트와 많이 닮았네요 그 영화의 느낌을 좀 많이 베낀 듯 잘 봤습니다 볼만했음 "
"120","설국열차","0.0","2013.08.07","가족이 보자해서 본 영화지만 너무하네요 제 이름이 방준호봉준호 감독과 한글 이름이 같다는거 슬퍼요그 돈 들여 이런 영화를 만드시다니 개봉관 숫자와 언플이 돈은 리커버리 해 주겠지만감독의 명성은 리커버리가 힘드실듯 "
