"","movie_nm","score","reg_date","contents"
"1","해적 : 바다로 간 산적","10.0","2014.08.16","넘넘 재미있었어요 보는내내 신나게 웃었네요 "
"2","해적 : 바다로 간 산적","10.0","2014.08.16","진짜 재밌어요 손뼉 치면서 웃었어요 명량이 상영관만 독점하지 않았다면 지금보다 더 흥행할 영화라고 생각합니다 "
"3","해적 : 바다로 간 산적","10.0","2014.08.16","간만에 웃을 수있어 너무좋았네요 "
"4","빈집","10.0","2014.08.16","옛나레아주오래된드라마쾌걸춘향에 나왔던 재희오빠 한테 빠져뭐지금은 그저그런스타가되었지만전 재희오빠를 아주 좋아합니다채널 돌리다가 재희오빠가 나오길래 아무생각없이 보다가심오하게 빠져든 영화처음엔 이거뭐지배경음악도없고말도없고 "
"5","시월애","10.0","2014.08.16","설레고 우수에 찬 계절감이 두고두고 꺼내봐도 좋습니다 매년 겨울이 올 때면 찾아보게 되네요 요즘 나오는 영화 중엔 이런 영화가 없지요 아마 저 시기에 나온 영화만의 매력이 아닐지 "
"6","해적 : 바다로 간 산적","10.0","2014.08.16","정말 넘넘 잼있게 봤어요간만에 넘 웃어보네요굿 "
"7","피에타","10.0","2014.08.16","무슨 의도를 품고 영화를 만드신 줄은 알겠습니다근데 보면 눈돌리고싶어지는장면들이 많은 영화였어여ㅛ "
"8","해적 : 바다로 간 산적","8.0","2014.08.16","무덥고 시원한 소식이 없는 요즘 세상에 잠시나마 웃을 수 있는 ㄱ꺼리를 준 영화 "
"9","해적 : 바다로 간 산적","10.0","2014.08.16","대박요근래 본 영화중에 제일 재밌었음설득력있는 스토리에 배우들 꿀연기에 손예진 김남길 꽃미모까지 뭐하나 빠지는게 없음 "
"10","해무","1.0","2014.08.16","뭐 요즘엔 이런건 뭐 참나 할말없음 "
"11","노아-40일간의 기적","0.0","2014.08.16","꽁짜로 봐도 시간이아까운 영화 "
"12","해무","0.0","2014.08.16","공짜로 봤다 유천이 팬이다 근데 도저히 평점 못주겠다 "
"13","해무","10.0","2014.08.16","지식인들만 이해할수있는 영화 우매한 대중은 공감 못할 영화다 대중성 오락성은 약하고 작품성은 높아서 관객수는 별로 안나올거 같은데 해외 영화제에서 극찬할 스타일 점 주는 놈들은 진짜 영화 제대로 보길한건지ㅋㅋㅋ 생각하는 머리가 없는건지ㅋㅋㅋ "
"14","명량","10.0","2014.08.16","영화보는 내내 몸에 힘을 꽉 지며 펑펑울며봤습니다 명량 최고 "
"15","해적 : 바다로 간 산적","3.0","2014.08.16","지루함 "
"16","해무","4.0","2014.08.16","군도 해적 명량 해무 중 유일하게 괜찮은 작품일 거 같아서 보러간 영화 아무 내용이 없음 결말이라는 것도 없음 그저 박유천의 가능성을 발견한 영화 정말 수저를 입안에 넣고 씹지도 않은 느낌 신기한 건 아무 내용은 없는데 지루하진 않아 허허 신기 "
"17","해무","10.0","2014.08.16","굿 "
"18","해적 : 바다로 간 산적","8.0","2014.08.16","정말 재밌게 봤네요조선판 캐리비안의 해적리라지만 유머코드는 훨 잘맞고CG도 명량보다 훨 잘됐고배우들의 깨알 연기도 좋고개인적으로는 해적명량군도는 못봤삼 "
"19","해적 : 바다로 간 산적","10.0","2014.08.16","올 여름 우리 영화중 최고의 블록버스터 재미와 오락을 함께 지닌 영화 임강력하게 추천 "
"20","해무","10.0","2014.08.16","배우들 연기 정말 잘하고 두시간이 금방 갈 정도로 몰입감 최고임 "
"21","해적 : 바다로 간 산적","9.0","2014.08.16","재밌어요 "
"22","해적 : 바다로 간 산적","10.0","2014.08.16","온가족이 재미있게 웃고 나온 영화 가족이 함께 웃을 수 있다는 자체만으로도 대만족 "
"23","명량","8.0","2014.08.16","전투 장면들이 억지스러워 보는동안 불편했고 이순신장군님의 감동을 주는 대사인데도 최민식의 목소리에 위엄이 안느껴져 중간중간에 불편했어요 연기는 최고인데 발성이 약하신듯 "
"24","해무","2.0","2014.08.16","희대의 망작이 될 듯 "
"25","가디언즈 오브 갤럭시","4.0","2014.08.16","완전 잼없어요 애들은 좋아하는데 넘 유치하고 스토리도 그냥 뭐 그래요 "
"26","해적 : 바다로 간 산적","9.0","2014.08.16","근래 웃을일 별로 없는데간만에 아이들과 신나게 웃었음 "
"27","해무","7.0","2014.08.16","내가 무얼 본건가요 충분히 공감은 가지만 이해는 할 수 없는 영화 보고 난 후의 찝찝함이란계속 머리 속에 맴도는데 무얼보여 주려고 했을까라는 의문점만 잔뜩 남았다 그나마 다행인건 졸리지 않는 영화라는것 "
"28","해적 : 바다로 간 산적","10.0","2014.08.16","아주 재미있게 잘 보았음 "
"29","해적 : 바다로 간 산적","10.0","2014.08.16","재밌다 스트레스 해소에 진심 도움된다 "
"30","해적 : 바다로 간 산적","10.0","2014.08.16","재미있게 봤습니다 개인적으로는 해적군도명량 "
