"","movie_nm","score","reg_date","contents"
"1","트랜스포머 : 패자의 역습","10.0","2009.06.29","상상의 한계를 넘다블록버스터의 한계를 넘다흥행의 한계를 넘다이것이 트랜스포머다 "
"2","트랜스포머 : 패자의 역습","6.0","2009.06.29","편의 기대에 찬물을 "
"3","이스턴 프라미스","8.0","2009.06.29","작년에 중앙극장에서 보고 또 보려 가려고 했는데 내려서 우리 동네 비디오대여점엔 없다 또 보고 싶은데 "
"4","엑스페리먼트","8.0","2009.06.29","베루스 하는 짓이 요즘 딱 과일촌 보는거 같다 "
"5","디 워","3.0","2009.06.29","외국인이본 우리나라 영화중 최악일듯 초등학생용 영화 스토리 연기 연출 모든것이 최악인 영화 컴퓨터 그래픽도 년전 나온 쥬라기공원에 비해서 많이 떨어짐 심감독님 영화공부좀 더 하세요 "
"6","트랜스포머 : 패자의 역습","9.0","2009.06.29","재밌어요 ㅋㅋㅋ역시 멋있긴 멋있지만 마지막과 몇몇부분의 내용이 참 그렇지만 ㅋㅋㅋ 그렇다해서 돈이 아깝지 않아요 ㅋㅋㅋㅋㅋ 편 나오면 또 보러갈거에요ㅋㅋ꼭 보러가세요 ㅋㅋㅋㅋㅋ "
"7","트랜스포머 : 패자의 역습","10.0","2009.06.29","시각적 쾌감의 극대화 아이들과 IMAX 재관람 예정 "
"8","트랜스포머 : 패자의 역습","10.0","2009.06.29","갑만에 시원한 영화였는데 볼거리가 가득한영화였어요 탄나올꺼아닌가 그리고 내용생각안할순없지만 영화가 만들어질때 어느부분을 더비중을두고 만들었는가 생각해보고보면 참좋을텐데요 전좋았음 "
"9","트랜스포머 : 패자의 역습","7.0","2009.06.29","전체적으로 편과 비슷한 수준인데 중반에서 종반으로 넘어가는 영화전개가 좀 기대이하였다 물론 로봇은 전편보다 많이 나오고 신선했지만 좀 예상외로 미국의 군사력을 홍보하는 듯한 장면들이 많아 실망이였음 "
"10","트랜스포머 : 패자의 역습","2.0","2009.06.29","더록 아마겟돈 트랜스포머 전부 재미있었는데 트은 극장에서만 번 봤는데 귀 따갑고 눈 아팠다 이런 걸 고대하다가 본 내가 싫다 "
