"","movie_nm","score","reg_date","contents"
"1","내 머리 속의 지우개","10.0","2006.11.25","너무슬픔ㅜㅜ "
"2","태극기 휘날리며","10.0","2006.11.25","전쟁의 당시의 모습과 두형제애에 감동받았던 영화그래서 더 슬픈 영화 "
"3","파이란","9.0","2006.11.25","말로 표현 못한 감동이 "
"4","태극기 휘날리며","6.0","2006.11.25","큰 규모 가족간의 사랑 잘생긴 배우들 그치만 두번 보고 싶지는 않은 영화 "
"5","캐리비안의 해적 : 블랙펄의 저주","10.0","2006.11.25","정말 구웃ㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅ "
"6","어린 신부","8.0","2006.11.25","이 영화 다시보기해도 잼있더라 "
"7","괴물","10.0","2006.11.25","괴물많은 교훈이 "
"8","태극기 휘날리며","10.0","2006.11.25","잊을수 없었고 잊어서는 안될 영화 "
"9","투사부일체","10.0","2006.11.25","짱웃김ㅋㅋ "
"10","괴물","9.0","2006.11.25","단순한 괴물영화가 아닌 휴며니즘이 들어 있는 영화 배우들의 연기력도 최상급 "
"11","어린 신부","4.0","2006.11.25","별이 있는건 근영양 때문 "
"12","유주얼 서스펙트","9.0","2006.11.25","반전 그곳의 왕 "
"13","왕의 남자","10.0","2006.11.25","장생과 공길 그 우정에 반하여 마지막에 눈물을 쏟아냈다 "
"14","왕의 남자","10.0","2006.11.25","기대하지 않고 봤었는데 정말 재밌었다 시계를 한번도 확인하지 않고 끝까지 봤던 영화였던듯 "
"15","맨발의 기봉이","6.0","2006.11.25","기봉이가 아니라 기봉이를 연기했다 "
"16","귀여운 여인","8.0","2006.11.25","줄리아 로버츠의 매력 "
"17","타이타닉","10.0","2006.11.25","봐도봐도 지루하지 않은 영화 아직도 타이타닉 주제곡을 들으면 가슴 설레임 "
"18","센과 치히로의 행방불명","8.0","2006.11.25","이건 만화 이상이다 "
"19","타짜","9.0","2006.11.25","멋진 배우 조승우와 김혜수백윤식의 정말 타짜스런 연기 실감나는걸 "
"20","웰컴 투 동막골","10.0","2006.11.25","감동적인 부분도있었고 웃긴부분도 적당히 있고 좋아요 "
"21","식스 센스","8.0","2006.11.25","반전영화의 최고봉선에 있는 영화 "
"22","괴물","10.0","2006.11.25","은하수를 새겨 놓아도 모자라 "
"23","태극기 휘날리며","10.0","2006.11.25","보는내내 계속 감탄했던 영상들이 아직도 잊혀지지않는 영화 "
"24","우리들의 행복한 시간","9.0","2006.11.25","삶을 사랑할 수있는 살아있을수있는것에 대한 행복을 다시한번 실감 "
"25","사운드 오브 뮤직","9.0","2006.11.25","명작 "
"26","태극기 휘날리며","10.0","2006.11.25","태극기 휘날리며 보면서 정말많이울었어여 "
"27","타이타닉","8.0","2006.11.25","사랑하는 그녀를 위해서 목숨을 내어줄수있을까 디카프리오의 죽음을 가른 사랑 "
"28","인생은 아름다워","8.0","2006.11.25","그의 낙천적인 삶에 존경을 "
"29","우리들의 행복한 시간","10.0","2006.11.25","짱 "
"30","괴물","10.0","2006.11.25","너무 재밌었음 "
"31","타짜","3.0","2006.11.25","나쁘지 않은 영화다 나온지 얼마안돼서 사람들 기억에 많이 남아서 이런 순위가나왔어리라 본다 윈너무해 "
"32","해리포터와 마법사의 돌","10.0","2006.11.25"," 다니엘 래드클리프 넘 멋져 ㅎ "
"33","해리포터와 마법사의 돌","9.0","2006.11.25","난 이들이 너무나 좋다 "
"34","웰컴 투 동막골","10.0","2006.11.25","완전 감동의 아픔 "
"35","바람과 함께 사라지다","10.0","2006.11.25","나이 어렸던 나의 가슴을 뛰게 만들었던 영화 "
"36","거룩한 계보","10.0","2006.11.25","정말 돈 안아까웠던 영화 친구들이랑 같이봐서 더 잊을수없었던영화 "
"37","쇼생크 탈출","10.0","2006.11.25","내 생에 최고의 영화 "
"38","태극기 휘날리며","10.0","2006.11.25","눈물없이 볼 수 없는 우리민족의 아픔을 진실되게 표현한 영화 "
"39","타짜","8.0","2006.11.25","화투만 이해한다면 더 즐거웠을텐데 "
"40","공동경비구역 JSA","9.0","2006.11.25","그들의 천진난만했던 웃음이 너무나 아프게 남는 영화 "
"41","올드보이","10.0","2006.11.25","박수 오로지 박수 "
"42","왕의 남자","10.0","2006.11.25","재밌음 "
"43","미스터 & 미세스 스미스","9.0","2006.11.25","두 커플의 완벽한 호흡 "
"44","말아톤","9.0","2006.11.25","조승우의 연기에 지칠때까지 박수를 보낸다 "
"45","나 홀로 집에","8.0","2006.11.25","스트레스제로 "
"46","너는 내 운명","8.0","2006.11.25","현실을 영화로 했지만 현실은 영화처럼 아름답지 못했기에 슬펐던 기억 "
"47","괴물","5.0","2006.11.25","이해안가는장면이많았음ㅡㅡ "
"48","왕의 남자","10.0","2006.11.25","왕이 불쌍하다는 생각이 들었다 "
"49","우리들의 행복한 시간","10.0","2006.11.25","정말 추하게 대놓고 울면서 봣던 영화 애국가 부르던 윤수를 절대 잊을수없게 만들었던영화 "
"50","너는 내 운명","10.0","2006.11.25","된장국같은 구수하고 잔잔한 감동의 영화 "
"51","태극기 휘날리며","10.0","2006.11.25"," 전쟁 당시의 민중의 아픔을 느낄 수 있었고 죄 없는 사람들이 고통받는 모습 등을 아주 잘 그려낸 작품입니다 무엇보다도 전쟁 중에 형제의 우애를 보고 눈물이 하염없이 나왔습니다 영화보면서 울기는 처음 "
"52","내 머리 속의 지우개","10.0","2006.11.25","영화보는 내내 훌쩍 훌쩍 제 남자친구 역시 눈물 주르륵 너무 감동이였습니다 "
"53","인생은 아름다워","10.0","2006.11.25","최고의 감동 "
"54","아이 엠 샘","10.0","2006.11.25","정말 감동적이고 제 인생 최대의 작품입니다 "
"55","왕의 남자","5.0","2006.11.25","괜찮은 영화긴 한데 위한건 너무하다 이 영화가 위하기엔 더 좋은 영화들이 넘 많다 안그래요 "
"56","러브레터","8.0","2006.11.25","순정만화같은 영화 감독의 감수성이 대단해요 "
"57","범죄의 재구성","8.0","2006.11.25","시나리오의 치밀함이 너무나 즐거웠던 영화 "
"58","러브레터","9.0","2006.11.25","겨울에 생각나는 영화아련한 첫사랑을 떠올리게하는 "
"59","살인의 추억","8.0","2006.11.25","영화상 범인을 못 잡을 수 밖에 없었던 현실이 너무나 안타까워 눈물났던 영화 "
"60","로마의 휴일","9.0","2006.11.25","봐도봐도 재밌는 영화 "
"61","이프 온리","10.0","2006.11.25","남자친구와 심야영화로 본 영화 제니퍼 러브 휴잇 이 영화로 팬이 되었어요 두 사람의 사랑 최고의 영화입니다 "
"62","개구리 중사 케로로 : 최종병기 키루루","10.0","2006.11.25","ㅋ "
"63","타이타닉","8.0","2006.11.25","개봉당시 불었던 반미감정을 어느 정도 잠재웠던 영화 "
"64","시네마 천국","9.0","2006.11.25","명화죠 "
"65","타이타닉","10.0","2006.11.25","디카프리오의 연기가 놀랍고 멋진 최고의 영화라고 생각한다짝짝짝 "
"66","왕의 남자","10.0","2006.11.25","나름대로 재밌었는데ㅋㅋ "
"67","타이타닉","10.0","2006.11.25","타이타닉총합해서한번정도 본거같은대 봐도봐도 지루하지 않은영화 "
"68","공공의 적","8.0","2006.11.25","잘 만든 영화 "
"69","엽기적인 그녀","10.0","2006.11.25","번도 넘게 봤다 끝 "
"70","미스터 & 미세스 스미스","9.0","2006.11.25","주인공들의 연기 그리고 모습이 영화에서 졸리가 진짜 예뻐 보였다 "
"71","해리포터와 마법사의 돌","9.0","2006.11.25","상상력의 세계 "
"72","왕의 남자","8.0","2006.11.25","기대만 안 했다면 정말 즐거웠을 영화 "
"73","캐리비안의 해적 : 망자의 함","10.0","2006.11.25","내생에 가장 재밌었던 영화멋진 조니뎁도 한목 "
"74","죽은 시인의 사회","9.0","2006.11.25","부럽다 이런 선생님이 "
"75","태극기 휘날리며","10.0","2006.11.25","진짜로 대단한 영화입니다원빈과 장동건 두분에 연기가 정말 돋보였고 잊을수 없는 최고의 영화입니다 "
"76","클래식","10.0","2006.11.25","배우들의연기 음악 영화내용 완벽한 조화를 이루었던 영화클래식의 잔잔한 감동은 아직도 한국멜로 이만한 영화없다 "
"77","형사: Duelist","10.0","2006.11.25","뭐라 말할 수 없는 영화 개인적으로 점도 모자라요 "
"78","웰컴 투 동막골","9.0","2006.11.25","이런 영화는 계속 나와 줘야 한다 쭈욱 "
"79","해바라기","10.0","2006.11.25","조폭영화라는 조금은 실상한 소재여서 보기를 망설였는데 보기를 잘했다는 생각이 듭니다 가슴 짠한 시원함을 주는 영화라고 할까요 김래원다시 보게 되네요 굿 "
"80","괴물","10.0","2006.11.25","점도 모자라지요 "
"81","괴물","9.0","2006.11.25","휴머니즘 그리고 한국영화의 발전된 저력 "
"82","바람과 함께 사라지다","9.0","2006.11.25","숨김없이 조금만 솔직히 서로에게 말할 수 있었으면대화의 중요성이 엄청 느껴 졌었다 "
"83","태극기 휘날리며","10.0","2006.11.25","일 개봉일 심야영화로 봤습니다 극장에 가득메운 사람들 연령층이 다양하더군요 영화보는내내 정말 가슴아팠습니다 마지막 할아버지의 눈물 감동의 영화입니다 "
"84","우리들의 행복한 시간","10.0","2006.11.25","친구들이랑 가서 정말 많이 울었던 영화 "
"85","웰컴 투 동막골","10.0","2006.11.25","무조건입니다 "
"86","태극기 휘날리며","8.0","2006.11.25","우리들만이 가질 수 있는 주제 그리고 숙제 "
"87","올드보이","10.0","2006.11.25","소름 "
"88","타짜","9.0","2006.11.25","시간이 엄창 짧게 느껴졌다 지루할 시간이 없었고 넘 빨리 끝난것 같은 느낌 "
"89","파이널 판타지 7","10.0","2006.11.25","전투씬에 반했습니다 액션 너무 멋져요 "
"90","괴물","10.0","2006.11.25","재미있습니다 "
"91","머나먼 여정","9.0","2006.11.25","감동적이네요 이 영화는 개와 고양이들과 같은 동물을 이용한 영화로 가족들을 찾기 위해 머나먼 여정을 떠나는 동물들 해피엔딩을 맞이 할 수 있어 좋습니다 "
"92","바람과 함께 사라지다","10.0","2006.11.25","생각만해도 가슴설레는 영화 정말 추천한다 또 보고싶구나 "
"93","우리들의 행복한 시간","10.0","2006.11.25","눈물 펑펑 년 최고의 영화였습니다 원작을 먼저 읽은터라 그리 기대 안하고 봤었는데배우극본 대 만족입니다 우행시사랑해요 "
"94","타이타닉","9.0","2006.11.25","한동안 계속 디카프리오 죽는 장면이 눈에서 떠나질 않았다기억에 많이 남는 작품이었다 "
